file;general;race;class;anim;deathvar;dialog;level;gender;sex;allegiance;overrideScript;classScript;raceScript;generalScript;defaultScript;helmet;shield;lring;rring;amulet;weapon1;weapon2;weapon3;weapon4;xpv;origin;name
A;HUMANOID;ELF;SORCERER;MAGE_MALE_ELF;BAELOTH;BAELOTH;6;MALE;MALE;NEUTRAL;BAELOTH;;;;;;;;BARING;;STAF02;DART11;;;0;bg1;Baeloth
AASIM;HUMANOID;HUMAN;FIGHTER_CLERIC;FIGHTER_MALE_HUMAN;AASIM;None;8;MALE;MALE;NEUTRAL;dw#gpsht;;None;LEAVECH7;dw#pr0;;SHLD04;;;;BLUN05;;;;1800;bg1;Aasim
ABELA;HUMANOID;FAIRY;INNOCENT;SIRINE;Abela;abela;0;FEMALE;FEMALE;NEUTRAL;RR#PICKP;None;None;None;wtrunsgt;;;;;;;;;;1400;bg1;Abela the Nymph
ACHEN;HUMANOID;STATUE;FIGHTER;FIGHTER_MALE_HUMAN;ACHEN;ACHEN;6;MALE;MALE;NEUTRAL;;WTARSGT;None;None;None;;;;;;BOW03;COMPS01;;;900;bg1;Statue
ADDY;HUMANOID;HUMAN;INNOCENT;NOBLE_WOMAN;addy;addy;1;FEMALE;FEMALE;NEUTRAL;dw#innhl;INITMAIN;RUNENEMY;None;WDRUNSGT;;;;;;;;;;15;bg1;Addy
AGNASI;HUMANOID;ELF;INNOCENT;CLERIC_FEMALE_ELF;None;agnasi;9;FEMALE;FEMALE;NEUTRAL;dw#urbhl;PRIEST5;None;None;dw1melge;;;;;;BLUN05;;;;4700;bg1;Agnasia
AIRASPEC;MONSTER;WYVERN;WYVERN;WYVERN;airaspec;;10;NIETHER;MALE;ENEMY;None;None;WYVERN;None;wtasight;;;RING97;;;WYVERN1;WYVERN2;;;4000;bg1;Air Aspect
AJANTD;HUMANOID;HUMAN;PALADIN;FIGHTER_MALE_HUMAN;None;ajantd;3;MALE;MALE;PC;None;None;None;None;dw1melpa;;SHLD03;;;;SW1H01;;;;0;bg1;Ajantis
AJANTI;HUMANOID;HUMAN;PALADIN;FIGHTER_MALE_HUMAN;AJANTIS;ajanti;2;MALE;MALE;NEUTRAL;AJANTIS;wtasight;None;None;DPLAYER;HELM11;X#AJSHLD;;;;SW1H01;;;;0;bg1;Ajantis
AJANTI4;HUMANOID;HUMAN;PALADIN;FIGHTER_MALE_HUMAN;AJANTIS;ajanti;4;MALE;MALE;NEUTRAL;AJANTIS;wtasight;None;None;DPLAYER;HELM11;X#AJSHLD;;;;SW1H01;;;;0;bg1;Ajantis
AJANTI6;HUMANOID;HUMAN;PALADIN;FIGHTER_MALE_HUMAN;AJANTIS;ajanti;6;MALE;MALE;NEUTRAL;AJANTIS;wtasight;None;None;DPLAYER;HELM11;X#AJSHLD;;;;SW1H01;;;;0;bg1;Ajantis
ALAI;HUMANOID;HUMAN;FIGHTER_MAGE;FIGHTER_MALE_HUMAN;ALAI;alai;8;MALE;MALE;NEUTRAL;dw#gpsht;;None;LEAVECH7;dw#mg15;;;RING09;;;HAMM01;DAGG05;;;1800;bg1;Alai
ALANBL;HUMANOID;HUMAN;THIEF;THIEF_MALE_HUMAN;Alan;alanbl;7;MALE;MALE;NEUTRAL;RR#PICKP;None;None;None;dw1melth;;;;;;SW1H07;;;;975;bg1;Alan Blackblade
