
file;general;race;class;anim;deathvar;dialog;level;gender;sex;allegiance;overrideScript;classScript;raceScript;generalScript;defaultScript;helmet;shield;lring;rring;amulet;weapon1;weapon2;weapon3;weapon4;xpv;name
A;HUMANOID;ELF;SORCERER;MAGE_MALE_ELF;BAELOTH;BAELOTH;6;MALE;MALE;NEUTRAL;BAELOTH;;;;;;;;BARING;;STAF02;DART11;;;0;Baeloth
AASIM;HUMANOID;HUMAN;FIGHTER_CLERIC;FIGHTER_MALE_HUMAN;AASIM;None;8;MALE;MALE;NEUTRAL;SHOUT;PRIEST5;None;LEAVECH7;WTASIGHT;;SHLD04;;;;BLUN05;;;;1800;Aasim
ABELA;HUMANOID;FAIRY;INNOCENT;SIRINE;Abela;abela;0;FEMALE;FEMALE;NEUTRAL;None;None;None;None;wtrunsgt;;;;;;;;;;1400;Abela the Nymph
ACGNOLL1;HUMANOID;GNOLL;GNOLL;GNOLL;ACGNOLL1;;4;MALE;MALE;ENEMY;;ACUITM;WTASIGHT;None;None;;;ACQ12000;;;HALB01;;;;120;Gnoll Chieftain
ACGNOLL2;HUMANOID;GNOLL;GNOLL;GNOLL;ACGNOLL1;;2;MALE;MALE;ENEMY;;ACUITM;WTASIGHT;None;None;;;;;;HALB01;;;;65;Gnoll Bodyguard
ACHEN;HUMANOID;STATUE;FIGHTER;FIGHTER_MALE_HUMAN;ACHEN;ACHEN;6;MALE;MALE;NEUTRAL;SHOUT;WTARSGT;None;None;None;;;;;;BOW03;COMPS01;;;900;Statue
ACQ10101;HUMANOID;DWARF;FIGHTER;FIGHTER_MALE_DWARF;None;;1;MALE;MALE;PC;;None;None;None;DPLAYER3;;;;;;;;;;0;
ACQ10102;HUMANOID;DWARF;FIGHTER;FIGHTER_MALE_DWARF;ACQ10102;ACQ10102;7;MALE;MALE;NEUTRAL;ACQ10102;ACUITM;WTASIGHT;None;;HELM08;SHLD03;;;;AX1H02;;;;500;Tarash
ACQ10103;HUMANOID;DWARF;THIEF;THIEF_MALE_DWARF;ACQ10103;;4;MALE;MALE;NOTEVIL;ACQ10103;ACUITM;WTARSGT;None;;HELM08;;;;;XBOW05;SW1H08;;;550;Assasin
ACQ10104;HUMANOID;DWARF;CLERIC;CLERIC_MALE_DWARF;ACQ10104;ACQ10104;1;MALE;MALE;NEUTRAL;;None;None;None;;HELM08;SHLD03;;;;ACQHAMM1;;;;0;Bashrik
ACQ10105;HUMANOID;ELF;RANGER;FIGHTER_FEMALE_ELF;ACQ10105;ACQ10105;1;FEMALE;FEMALE;NEUTRAL;;None;None;None;;;;;;;BOW03;SW1H01;;;0;Mirjala
ACQ10106;HUMANOID;DWARF;THIEF;THIEF_MALE_DWARF;ACQ10106;ACQ10106;8;MALE;MALE;NEUTRAL;ACQ10106;ACUITM;WTASIGHT;None;;;SW1H22;;;MINHP1;SW1H22;;;;1000;Draglon
ACQ10107;HUMANOID;DWARF;FIGHTER;FIGHTER_MALE_DWARF;ACQ10107;;7;MALE;MALE;NEUTRAL;;ACUITM;WTASIGHT;None;;HELM01;SHLD03;;;;AX1H01;;;;800;Cultist
ACQ10108;HUMANOID;DWARF;FIGHTER;FIGHTER_MALE_DWARF;ACQ10108;;7;MALE;MALE;NEUTRAL;;ACUITM;WTARSGT;None;;HELM01;;;;;XBOW01;SW1H48;;;800;Cultist
ACQ10109;HUMANOID;DWARF;FIGHTER;FIGHTER_MALE_DWARF;ACQ10109;;7;MALE;MALE;ENEMY;;ACUITM;WTASIGHT;;;HELM15;AX1H02;;;;AX1H02;;;;1000;Abbathor Fanatic
ACQ10110;HUMANOID;DWARF;CLERIC;CLERIC_MALE_DWARF;ACQ10110;;7;MALE;MALE;ENEMY;;ACUITM;PRIEST5;None;;HELM09;SHLD03;;;;BLUN07;;;;900;Abbathor Cleric
ACQ10111;HUMANOID;DWARF;CLERIC;CLERIC_MALE_DWARF;ACQ10111;;8;MALE;MALE;NEUTRAL;;ACUITM;PRIES10B;None;;HELM09;SHLD03;;;;SLNG04;BLUN07;;;1000;Lugosch
ACQ10112;HUMANOID;DWARF;THIEF;THIEF_MALE_DWARF;ACQ10112;;8;MALE;MALE;NEUTRAL;ACQ10112;ACUITM;WTASIGHT;None;;;;;;MINHP1;SW1H22;;;;1000;Dwarf
ACQ10113;HUMANOID;DWARF;FIGHTER;FIGHTER_MALE_DWARF;ACQ10113;ACQ10113;7;MALE;MALE;NEUTRAL;ACQ10116;ACUITM;WTASIGHT;None;;HELM13;SHLD01;;;;AX1H02;;;;700;Galder
ACQ10114;HUMANOID;DWARF;FIGHTER;FIGHTER_MALE_DWARF;ACQ10114;ACQ10114;7;MALE;MALE;NEUTRAL;ACQ10116;ACUITM;WTARSGT;None;;HELM10;;;;;HALB02;;;;700;Therk
ACQ10115;HUMANOID;DWARF;THIEF;THIEF_MALE_DWARF;ACQ10115;ACQ10115;8;MALE;MALE;NEUTRAL;ACQ10116;ACUITM;WTARSGT;None;;HELM08;;;;;XBOW05;SW1H08;;;700;Jarger
ACQ10116;HUMANOID;DWARF;FIGHTER_CLERIC;FIGHTER_MALE_DWARF;ACQ10116;ACQ10116;6;MALE;MALE;NEUTRAL;ACQ10116;ACUITM;PRIEST5;None;;HELM12;SHLD03;;;;HAMM07;;;;1000;Wostok
ACQ10117;HUMANOID;HUMAN;FIGHTER;FIGHTER_MALE_HUMAN;ACQ10117;ACQ10117;6;MALE;MALE;NEUTRAL;ACQ10117;ACUITM;WTASIGHT;None;;HELM01;SHLD03;;;;AX1H02;;;;550;Jassir
ACQ10118;HUMANOID;HUMAN;MAGE;MAGE_FEMALE_HUMAN;ACQ10118;ACQ10118;7;FEMALE;FEMALE;NEUTRAL;ACQ10118;ACUITM;MAGE6;None;;;;;;;;;;;550;Jenna
ACQ10119;HUMANOID;DWARF;FIGHTER;FIGHTER_MALE_DWARF;ACQ10119;;1;MALE;MALE;ENEMY;ACQ10119;ACUITM;WTASIGHT;None;;HELM06;;IMMCHS;KIEL2;;AX1H02;;;;750;Shadow
ACQ10120;HUMANOID;DWARF;CLERIC;MAGE_MALE_DWARF;ACQ10120;ACQ10120;1;MALE;MALE;NEUTRAL;ACQ10120;ACUITM;PRIES6C;;;HELMNOAN;;;;;;;;;300;Mad Priest of Dumathoin
ACQ10121;HUMANOID;HUMAN;INNOCENT;SLAVE;ACQ10121;ACQ10121;1;MALE;MALE;NEUTRAL;ACQMINER;None;;None;;;;;;;;;;;2;Larn
ACQ10122;HUMANOID;HUMAN;INNOCENT;SLAVE;ACQ10122;ACQ10122;1;MALE;MALE;NEUTRAL;ACQMINER;None;;None;;;;;;;;;;;2;Bob
ACQ10123;HUMANOID;HUMAN;INNOCENT;SLAVE;ACQ10123;ACQ10123;1;MALE;MALE;NEUTRAL;ACQMINER;None;;None;;;;;;;;;;;2;Ron
ACQ10124;HUMANOID;HUMAN;INNOCENT;SLAVE;ACQ10124;ACQ10124;1;MALE;MALE;NEUTRAL;ACQMINER;None;;None;;;;;;;;;;;2;Hank
ACQ10125;HUMANOID;HUMAN;FIGHTER;FIGHTER_MALE_HUMAN;None;;6;MALE;MALE;NEUTRAL;;None;None;None;;;;;;;;;;;550;Jasr
ACQ10126;HUMANOID;HUMAN;MAGE;MAGE_FEMALE_HUMAN;None;;7;FEMALE;FEMALE;NEUTRAL;None;None;None;None;;;;;;;;;;;550;Jen
ACQ10127;HUMANOID;DWARF;FIGHTER_CLERIC;SLEEPING_DWARF;ACQ10127;ACQ10127;6;MALE;MALE;NEUTRAL;;None;None;None;;;;;;MINHP1;;;;;0;Wostok
ACQ11001;HUMANOID;DWARF;FIGHTER;FIGHTER_MALE_DWARF;ACQ11001;ACQ11001;3;MALE;MALE;NEUTRAL;;ACUITM;WTASIGHT;None;;HELM12;SHLD03;;;;AX1H01;;;;200;Agnus
ACQ11002;HUMANOID;ELF;MAGE;MAGE_MALE_ELF;ACQ11002;ACQ11002;3;MALE;MALE;NEUTRAL;ACQ11002;ACUITM;MAGE2;None;;;;;;;STAF01;;;;200;Teliel
ACQ11003;HUMANOID;HALFLING;THIEF;THIEF_MALE_HALFLING;ACQ11003;ACQ11003;4;MALE;MALE;NEUTRAL;;ACUITM;WTASIGHT;None;;;;;;;SW1H07;;;;450;Udolf
ACQ12001;HUMANOID;HUMAN;INNOCENT;PEASANT_WOMAN;ACQ12001;ACQ12001;1;FEMALE;FEMALE;NEUTRAL;ACQ12001;SHOUT;RUNENEMY;None;;;;;;;;;;;15;Mrs. Brunnstein
ACQ12002;HUMANOID;HUMAN;INNOCENT;PEASANT_MAN;ACQ12002;ACQ12002;1;MALE;MALE;NEUTRAL;ACQ12002;None;None;;None;;;;;;;;;;15;Aaron
ACQ12003;UNDEAD;HUMAN;INNOCENT;HARLOT_WOMAN;ACQ12003;ACQ12003;1;FEMALE;FEMALE;NEUTRAL;;;None;None;;;;;KIEL2;;SPECTR;;;;15;Ghost
ACQ12004;HUMANOID;HUMAN;RANGER;FIGHTER_MALE_HUMAN;ACQ12004;ACQ12004;4;MALE;MALE;NEUTRAL;ACQ12004;ACUITM;WTARSGT;None;;;;;;;BOW03;;;;0;Barin
ACQ13001;HUMANOID;HUMAN;INNOCENT;GIRL;ACQ13001;ACQ13001;1;FEMALE;FEMALE;NEUTRAL;ACQ13001;SHOUT;RUNENEMY;None;;;;;;;;;;;7;Kessy
ACQ13002;GIANTHUMANOID;OGRE;OGRE;OGRE;ACQ13002;ACQ13002;4;MALE;MALE;NEUTRAL;ACQ13002;WTASIGHT;;None;None;;;;;;;;;;650;Ugh
