ac_quest: 62 new, 0 changed

NEW (62):
  ACGNOLL1  Gnoll Chieftain
  ACGNOLL2  Gnoll Bodyguard
  ACQ10101
  ACQ10102  Tarash
  ACQ10103  Assasin
  ACQ10104  Bashrik
  ACQ10105  Mirjala
  ACQ10106  Draglon
  ACQ10107  Cultist
  ACQ10108  Cultist
  ACQ10109  Abbathor Fanatic
  ACQ10110  Abbathor Cleric
  ACQ10111  Lugosch
  ACQ10112  Dwarf
  ACQ10113  Galder
  ACQ10114  Therk
  ACQ10115  Jarger
  ACQ10116  Wostok
  ACQ10117  Jassir
  ACQ10118  Jenna
  ACQ10119  Shadow
  ACQ10120  Mad Priest of Dumathoin
  ACQ10121  Larn
  ACQ10122  Bob
  ACQ10123  Ron
  ACQ10124  Hank
  ACQ10125  Jasr
  ACQ10126  Jen
  ACQ10127  Wostok
  ACQ11001  Agnus
  ACQ11002  Teliel
  ACQ11003  Udolf
  ACQ12001  Mrs. Brunnstein
  ACQ12002  Aaron
  ACQ12003  Ghost
  ACQ12004  Barin
  ACQ13001  Kessy
  ACQ13002  Ugh
  ACQ13003  Rabbit
  ACQ13004  Rabbit Breeder
  ACQ15001  Aphriel
  ACQ15002  Perwell
  ACQ16001  Aiwell
  ACQ16002  Werewolf
  ACQ16003  Tonder
  ACQ17001  Ygnatz
  ACQ17002  Karlini
  ACQ17003  Balor
  ACQ18001  Mutated Gibberling
  ACQ18002  Geraldo
  ACQ18004  Mutated Gibberling
  ACQ18324  Mutated Gibberling
  ACQ18325  Mutated Gibberling
  ACQ18611  Mutated Gibberling
  ACQ19001  Mandy
  ACQ19002  Ashley
  ACQ19003  Cindy
  ACQSZENT  Zhentarim Emissary
  ACUMBHUL  Umber Hulk
  ACVIRGI
  OBSERVE
  SKELAR02  Skeleton Archer
