blackhearts: 113 new, 1 changed

NEW (113):
  WIAMARAN  Amarande
  WIANKHE1  Assassin Ankheg
  WIAPPLE   Wynna
  WIBARMAI  Elma the Barmaid
  WIBEGG01  Beggar
  WIBH2TAM  Tamoko
  WIBH2WI2  Winski Perorate
  WIBH2WIN  Winski Perorate
  WIBHSHA1  Chaos Shadow
  WIBHSHA2  Slaughter Shade
  WIBORT    Kherk Snotpaw
  WICARLOS  Durgig Shadowbrand
  WICHERI2  Cherise Siltuhr
  WICHERIS  Cherise Siltuhr
  WICIRIL   Dico
  WICLAYGO  Clay Golem
  WICOMM01  Commoner
  WICOMM2   Commoner
  WICOMM3   Commoner
  WICONSC1  Conscript
  WICONSC2  Conscript
  WICONSC3  Traitor Conscript
  WICULT1   Dreg Ghoul
  WICYNTH2  Cythandria
  WICYNTHA  Cythandria
  WIDRYAD1  Dryad of Peldvale
  WIDRYAD2  Dryad of Peldvale
  WIELAN    Silmivya
  WIELENAI  Elenair
  WIELFIR1  Fire Elemental
  WIERASMU  Elys Horne
  WIFARGUS  Nichye
  WIFIRGI2  Herald of Yaga-Shura
  WIFIRGIA  Herald of Yaga-Shura
  WIGENTLE  The Gentleman
  WIGUARD   Mine Guard
  WIGUARD2  Mine Guard
  WIHARSP1  Harper Spectre
  WIHARSP2  Harper Spectre
  WIHOBG01  Redwater Archer
  WIHOBG02  Redwater Warrior
  WIHOBG03  Redwater Wizard
  WIHOBG04  Perthag of Red Waters
  WIICESAL  Ice Salamander
  WIICESCL  Ice Salamander Cleric
  WIILLAS1  Image of Illasera
  WIILLASE  Illasera the Quick
  WIJELLY   Yujehli
  WIKRANCO  Riffolk Wyne
  WILLYRK   Sazazir
  WIMESSEN  Messenger
  WIMIMIC   Mimic
  WINERSOD  Nerys
  WINERY2   Nerys
  WINERYS   Nerys
  WINIKN01  Night Knife
  WINIKN02  Night Knife
  WINIKN03  Night Knife
  WIOGMA01  Yondak Master of Portals
  WIOGRE01  Ogre Bodyguard
  WIOGRE02  Grahh
  WIOOZE    Black Blood
  WIOWYN    Adokul
  WIPINATA  Wakizashi
  WIPORT    Sanctum Portal
  WIPORTA1  Portal
  WIPORTA2  Portal
  WIPORTA3  Portal
  WIPORTA4  Portal
  WIPORTA5  Portal
  WIPRESF2  Presfiel
  WIPRESFI  Presfiel
  WIREDWIZ  Artin
  WIREDWO2  Woman in Red
  WIREDWOM  Woman in Red
  WIREGINA  Rithelm
  WIRIEZEN  Riezen Darkeyes
  WIRWBAR2  Thayan Bodyguard
  WIRWBARB  Thayan Bodyguard
  WIRWBKG2  Krotia the Black
  WIRWBKGD  Thayan Subjugator
  WIRWCLER  Thayan Apostle
  WIRWTHI2  Thayan Agent
  WIRWTHIF  Thayan Agent
  WIRWWIZ1  Malachi Medeid
  WIRWWIZ2  Thayan Conjuror
  WIRWWIZ3  Thayan Conjuror
  WIRWWIZ4  Thayan Conjuror
  WIRWWIZ5  Thayan Conjuror
  WIRWWIZ6  Thayan Conjuror
  WIRWWIZ7  Thayan Conjuror
  WISAMJOH  Adogeon Sharpgrin
  WISAREV   Sarevok
  WISHADO1  Shadow Demon
  WISHADO2  Shadow
  WISHAMB   Shambling Mound
  WISKEL    Crumbling Skeleton
  WISLAYD   Freshwater Troll
  WISLAYER  Coagulation of Murder
  WISLFS01  Fission Slime
  WISLFS02  Fission Slime
  WISPID01  Spider
  WISPID02  Spider
  WISPID03  Lightning Sword Spider
  WISPIRIT  Watchful Spirit
  WISTOGOL  Stone Golem
  WITHARDE  Dannimus Toth
  WITHIEF1  Rogue
  WITHIEF2  Rogue
  WITIM     Andoc
  WITREANT  Bleeding Cypress
  WITROLL   Slime Troll
  WIWYLLIA  Urthadar

CHANGED (1):
  TAKIYAH   Takiyah
    deathvar: None -> TAKIYAH
