bst: 145 new, 0 changed

NEW (145):
  BSALGBK   The Book Of Planes
  BSALGHST  Alguine
  BSALGUNE  Alguine
  BSBANDIT  Bandit
  BSBANDT2  Bandit
  BSBOYBCN  Boy
  BSCOMMW1  Commoner
  BSDIALOG
  BSDOPP01  Doppelganger
  BSDOPP02  Greater Doppelganger
  BSDOPP03  Doppelganger
  BSDOPP04  Greater Doppelganger
  BSDOPP05  Doppelganger
  BSDOPP06  Greater Doppelganger
  BSDOPP07  Doppelganger
  BSDPCIV   Guest
  BSDPGRD1  Tower Guard
  BSDPGRD2  Tower Guard
  BSDPGRD3  Tower Guard
  BSDPGRD5  Tower Guard
  BSFAIGRD  Guard
  BSFMONK   Monk of Ilmater
  BSFRELEM  Lesser Fire Elemental
  BSGHAST1  Ghast
  BSGHAST2  Ulf
  BSGLABRE  Glabrezu
  BSGNOLD2  Gnoll
  BSGNOLD4  Gnoll Chieftain
  BSGNOLD5  Gnoll
  BSGNOLLD  Gnoll
  BSGORIOD  Gorion
  BSGRDBCN  Beacon Guard Jose
  BSLENARD  Tower Guard Lenard
  BSMANBCN  Commoner
  BSMESSED  Messenger
  BSMIMIC1  Mimic Fledgling
  BSMM001   Lime
  BSMM002   Blurt
  BSMONK    Monk of Ilmater
  BSMYCON1  Myconid
  BSOGRED   Ogre
  BSORCARC  Orc Archer
  BSORCED2  Sorceror
  BSORCMGE  Orc Mage
  BSORCPRS  Orc Priest
  BSORCWRK  Orc Worker
  BSOTYUGH  Otyugh
  BSPIRATE  Pirate
  BSPIRCPT  Pirate Captain
  BSPLSPRT  Drowned Spirit
  BSPOISOD  Poisoned Man
  BSPRGRD1  Tower Prison Guard
  BSPRGRD2  Tower Guard Jai
  BSRABBIT  Rabbit
  BSRORYN   Inn Master Roryn
  BSSAHU01  Sahuagin Priestess
  BSSAHU02  Sahuagin Chieftain
  BSSAHU03  Sahuagin
  BSSAHU04  Sahuagin Scout
  BSSATOS   Abbot Guoremor
  BSSEATRL  Sea Troll
  BSSHCKBR  Nathoriel
  BSSHUCK   Tower Guard Shuck
  BSSLAV01  Leonhard
  BSSLAV02  Bouncer
  BSSLAV03  Bouncer
  BSSLAV04  Bouncer
  BSSLAV05  Bouncer
  BSSLAV06  Bouncer
  BSSLAV07  Mannuf
  BSSLAVFF  Flaming Fist Scout
  BSSLVMSG  Messenger
  BSSMGL01  Innocent Looking Berry Picker
  BSSMGL02  Holger
  BSSMGL03  Smuggler
  BSSMGL04  Smuggler
  BSSMGL05  Smuggler
  BSSMGL06  Smuggler
  BSSMGL07  Smuggler
  BSSORCED  Sorceror
  BSSTGC    Captain Dungarth
  BSTAIL02  Tailor's Assistant
  BSTAILOR  Master Usher
  BSTANAR   Nabassu Fledgling
  BSTANNER  Tanner
  BSTQ001   Lady Springfall
  BSTQ002   Legal Attendant
  BSTQ003   Lars
  BSTQ004   Klaus
  BSTQ005   Guest
  BSTQ006   Guest
  BSTQ007   Priestess of Selune
  BSTQ008   Monk of Ilmater
  BSTQ009   Alaza
  BSTQ010   Betsy the Rat
  BSTRCMDR  Seatower Commander Airard
  BSTRMAGE  Master Shizell
  BSTRSURE  Tower Treasurer
  BSVOICE   Voice
  BSVPRAB   Vampiric Rabbit
  BSWARRID  Warrior
  BSWELLBO  Boy
  BSWELLGL  Girl
  BSWELLMA  Commoner
  BSWHITKD  White Knight
  BSWINCH1  Head Winchman Brydw
  BSWINCH2  Winchman's Assistant
  BSWLLSPY  Seatower Well
  BSWNCHGL  Girl
  BSWNCHWM  Commoner
  BSWOMAND  Woman
  YSBLKSMT  Garalt the Armorer
  YSBRKGD2  Tower Guard
  YSBRKGRD  Tower Guard
  YSBSNBM1  Nobleman
  YSBSNBM2  Nobleman
  YSBSNBM3  Nobleman
  YSBSNBW1  Noblewoman
  YSBSNBW2  Noblewoman
  YSBSNBW3  Noblewoman
  YSBSNBW4  Noblewoman
  YSFARMER  Seatower Farmer
  YSFARMWI  Farmer's Wife
  YSFLTCHR  Matha the Fletcher
  YSGUARD1  Tower Guard
  YSGUARD2  Tower Guard
  YSGUARD3  Tower Guard
  YSGUARD4  Tower Guard
  YSGUARD5  Tower Guard
  YSHAFSLG  Halfslinger
  YSMCOOK1  Cook
  YSMCOOK2  Cook's Apprentice
  YSRSDEAD  Restless Dead
  YSRSGHST  Restless Dead
  YSRSTDD1  Restless Dead
  YSRSTDD2  Restless Dead
  YSRSTDD3  Restless Dead
  YSSELUNE  Priestess of Selune
  YSSELWOR  Worshipper of Selune
  YSSGT1    Tower Sergeant
  YSSGT2    Tower Sergeant
  YSSGT3    Tower Sergeant
  YSSHTGRD  Tower Guard
  YSSTCGRD  Tower Guard
  YSTRSGRD  Tower Guard
