Loretakers: 85 new, 0 changed

NEW (85):
  AC#BASGR  Greater Basilisk
  AC#CUST1  Commoner
  AC#CUST2  Commoner
  AC#CUST3  Commoner
  AC#CUST4  Noblewoman
  AC#CUST5  Noblewoman
  AC#CUST6  Nobleman
  AC#CUST7  Nobleman
  AC#FP1W1  Wererat
  AC#FP1W2  Wererat
  AC#FP1W3  Wererat
  AC#FP2O1  Ogre
  AC#FP2O2  Ogre
  AC#FP2OT  Thrall
  AC#FP2ST  Unholy Statue
  AC#FP2ZO  Zombie
  AC#FP3EB  The Encephalithid
  AC#FP3MF  Mind Flayer
  AC#FP4S1  Voidspeaker
  AC#FP4S2  Voidspeaker
  AC#FP4S3  Voidspeaker
  AC#FP5S1  Voidspeaker
  AC#FP5S2  Voidspeaker
  AC#FP5S3  Voidspeaker
  AC#FP6S1  Voidspeaker
  AC#FP6S2  Voidspeaker
  AC#FP6S3  Voidspeaker
  AC#FP7S1  Voidspeaker
  AC#FP7S2  Voidspeaker
  AC#FP7S3  Voidspeaker
  AC#FPCLG  Clay Golem
  AC#FPCLY  Lesser Clay Golem
  AC#FPCO2  Loremaster High Eyvind
  AC#FPCO9  Captured Creature
  AC#FPCOG  Loremaster High Eyvind
  AC#FPDT2  Death Tyrant
  AC#FPDTY  Death Tyrant
  AC#FPFEY  Feyr
  AC#FPGHL  Ghoul
  AC#FPGHO  Aimil
  AC#FPGND  Master Durnan
  AC#FPLAD  Etate
  AC#FPMDS  Mindshadow
  AC#FPMFL  Mind Flayer
  AC#FPMIC  Ice Mephit
  AC#FPMMY  Bog Mummy
  AC#FPMOU  Shambling Mound
  AC#FPOBL  Oblex
  AC#FPOG4  Bagut
  AC#FPOTY  Otyugh
  AC#FPOX1  Obliviax
  AC#FPPIP
  AC#FPPR1  Rennack
  AC#FPRA2  Rat
  AC#FPRTP  Rat
  AC#FPSEW  Sewer Cleaner
  AC#FPSHD  Shadow
  AC#FPSL2
  AC#FPSLT  Slithering Tracker
  AC#FPST1  Loremaster Namonder
  AC#FPST2  Seeker Tuck
  AC#FPSUN  Petian
  AC#FPSWM  Sewerm
  AC#FPWP2  White Blob
  AC#FPWPU  White Blob
  AC#FPWRA  Wraith
  AC#FPWRC  Scronch
  AC#FPWRW  Ralx
  AC#FPWWR  Water Weird
  AC#MOAN1  Urthadar
  AC#MUGG1  Viceak
  AC#MUGG2  Rickul
  AC#PEAS1  Noblewoman
  AC#PEAS2  Noblewoman
  AC#PEAS3  Commoner
  AC#RAT01  Rat
  AC#ULIT1  Vuardsungulu
  AC#WEHU1  Rogue
  AC#WEHU2  Rogue
  AC#WEHU3  Rogue
  AC#WEHU4  Rogue
  AC#WERA1  Wererat
  AC#WERA2  Diseased Wererat
  AC#WERAD
  AC#WRIM1  Wrimbog
