GLAMNPCPACK: 27 new, 0 changed

NEW (27):
  GV#ALAN   Alan
  GV#BRIA   Brian
  GV#COMM1  Commoner
  GV#COMM2  Commoner
  GV#COMM3  Commoner
  GV#CORPS  Corpse
  GV#DAVE   Dave
  GV#FLAR   Flara
  GV#JEFF   Stormlord Jeff
  GV#KELL   Kelly
  GV#KELLA  Kelly
  GV#KRAK   Lord Burnheart
  GV#LITT   Littlun
  GV#MARI   Lady Burnheart
  GV#MERI   Officer Meriwether
  GV#MOID   Moidre
  GV#PAM    Pam
  GV#PHIL   Phil
  GV#PIER   Pierson
  GV#SIGU   Sigurd
  GV#SPID   Spider
  GV#STOR   Storm Knight
  GV#TARA   Taranis
  GV#THUN   Thundercat
  GV#THUN2  Thundercat
  GV#VYND   Vynd
  GV#WINK   Reeves
