AURA_BG1_2_EET: 24 new, 0 changed

NEW (24):
  C02AKOKO  Koko
  C02AORC1  Orc Warrior
  C02AORC2  Orc Warrior
  C02AURA   Aura
  C02AUTO   Bronze Automaton
  C0AUALCH  Alchemy
  C0AUAYAK  Ayakashi
  C0AUIN3A  Bronze Automaton
  C0AUIN3B  Jade Automaton
  C0AUIN3C  Adamantine Automaton
  C0AUIN3D
  C0AUIN4   Wandcrafting
  C0AUKAGU  Kagutsuchi
  C0AUKUON  Ku'on Myodo
  C0AUMIZU  Mizuchi
  C0AURA    Aura
  C0AUSUMM
  C0FUBUKI  Fubuki
  C0NINJA   Ninja
  C0NINJA2  Elite Ninja
  C0NINJA3  Rinkou
  C0NINJA4  Mayoi
  C0NINJA5  Kotaro
  C0SAITO   Tadahashi Saito
