rr: 3 new, 924 changed

NEW (3):
  RR#SHM01  Lesser Shambler
  RR#SHM02  None whatsoever.
  RR#SHM03  Greater Shambler

CHANGED (924):
  A!RAOUL   Raoul
    overrideScript:  -> RR#PICKP
  ABELA     Abela the Nymph
    overrideScript: None -> RR#PICKP
  AC#CUST2  Commoner
    overrideScript:  -> RR#PICKP
  AC#FP1W2  Wererat
    overrideScript: NONE -> RR#PICKP
  AC#FPCO9  Captured Creature
    overrideScript:  -> RR#PICKP
  AC#FPGND  Master Durnan
    overrideScript:  -> RR#PICKP
  AC#FPSEW  Sewer Cleaner
    overrideScript:  -> RR#PICKP
  AC#FPST2  Seeker Tuck
    overrideScript:  -> RR#PICKP
  AC#FPSUN  Petian
    overrideScript:  -> RR#PICKP
  AC#PEAS3  Commoner
    overrideScript:  -> RR#PICKP
  ACQ10107  Cultist
    overrideScript:  -> RR#PICKP
  ACQ10108  Cultist
    overrideScript:  -> RR#PICKP
  ACQ10111  Lugosch
    overrideScript:  -> RR#PICKP
  ACQ11001  Agnus
    overrideScript:  -> RR#PICKP
  ACQ11003  Udolf
    overrideScript:  -> RR#PICKP
  ACQ13004  Rabbit Breeder
    overrideScript:  -> RR#PICKP
  ACQ16003  Tonder
    overrideScript:  -> RR#PICKP
  ACQ19001  Mandy
    overrideScript:  -> RR#PICKP
  ACQ19002  Ashley
    overrideScript:  -> RR#PICKP
  ACQ19003  Cindy
    overrideScript:  -> RR#PICKP
  ALANBL    Alan Blackblade
    overrideScript: None -> RR#PICKP
  ALATOS    Alatos "Ravenscar" Thuibuld
    overrideScript: None -> RR#PICKP
  AMNISE    Amnian Soldier
    overrideScript:  -> RR#PICKP
  AMNISE2   Amnian Soldier
    overrideScript:  -> RR#PICKP
  AMNISE3   Amnian Soldier
    overrideScript:  -> RR#PICKP
  AMNISE4   Amnian Soldier
    overrideScript:  -> RR#PICKP
  AMNISE5   Amnian Soldier
    overrideScript:  -> RR#PICKP
  ANGELO    Angelo
    overrideScript: None -> RR#PICKP
  ARDENO    Ardenor Crush
    overrideScript: None -> RR#PICKP
  ARKION    Arkion
    overrideScript:  -> RR#PICKP
  BANDITC   Bandit
    overrideScript: None -> RR#PICKP
  BANDITCY  Ruffian
    overrideScript:  -> RR#PICKP
  BARESH    Baresh
    overrideScript: None -> RR#PICKP
  BAYARD    Bayard
    overrideScript: None -> RR#PICKP
  BDAMMON   Ammon
    overrideScript:  -> RR#PICKP
  BDARAYA   Lady Araya
    overrideScript:  -> RR#PICKP
  BDASSN01  Assassin
    overrideScript:  -> RR#PICKP
  BDBARGHE  The Barghest
    overrideScript:  -> RR#PICKP
  BDBELT    Belt
    overrideScript:  -> RR#PICKP
  BDBERTA   Berta
    overrideScript:  -> RR#PICKP
  BDBF3     Lexa
    overrideScript: NONE -> RR#PICKP
  BDBF4     Herdrin
    overrideScript: NONE -> RR#PICKP
  BDBF5     Kendra
    overrideScript: NONE -> RR#PICKP
  BDBFOR12  Traveler
    overrideScript:  -> RR#PICKP
  BDBFOR13  Adventurer
    overrideScript:  -> RR#PICKP
  BDBFOR14  Bridgefort Defender
    overrideScript:  -> RR#PICKP
  BDBFOR15  Traveler
    overrideScript:  -> RR#PICKP
  BDBFOR16  Bridgefort Defender
    overrideScript:  -> RR#PICKP
  BDBFORT   Adirran
    overrideScript:  -> RR#PICKP
  BDBFORT2  Bridgefort Soldier
    overrideScript:  -> RR#PICKP
  BDBFORT3  Bridgefort Guard
    overrideScript:  -> RR#PICKP
  BDBFORT9  Bridgefort Defender
    overrideScript:  -> RR#PICKP
  BDBFSENT  Crusader Sentry
    overrideScript:  -> RR#PICKP
  BDCABAL1  Priest
    overrideScript:  -> RR#PICKP
  BDCAMPBE  Bridgefort Defender
    overrideScript:  -> RR#PICKP
  BDCAMPF1  Camp Follower
    overrideScript:  -> RR#PICKP
  BDCAMPF2  Camp Follower
    overrideScript:  -> RR#PICKP
  BDCAMPF3  Camp Follower
    overrideScript:  -> RR#PICKP
  BDCAMPF4  Camp Follower
    overrideScript:  -> RR#PICKP
  BDCAMPF5  Camp Follower
    overrideScript:  -> RR#PICKP
  BDCAMPF6  Camp Follower
    overrideScript:  -> RR#PICKP
  BDCHARRA  Charra
    overrideScript:  -> RR#PICKP
  BDCRALRT  Crusader
    overrideScript:  -> RR#PICKP
  BDCRSIT1  Crusader
    overrideScript: NONE -> RR#PICKP
  BDCRU110  Mercenary
    overrideScript:  -> RR#PICKP
  BDCRU111  Mercenary Captain
    overrideScript:  -> RR#PICKP
  BDCRU112  Kara-Turan Mercenary
    overrideScript:  -> RR#PICKP
  BDCRU114  Mercenary
    overrideScript:  -> RR#PICKP
  BDCRU115  Mercenary
    overrideScript:  -> RR#PICKP
  BDCRU116  Mercenary
    overrideScript:  -> RR#PICKP
  BDCRU117  Mercenary
    overrideScript:  -> RR#PICKP
  BDCRU118  Mercenary
    overrideScript:  -> RR#PICKP
  BDCRU120  Crusader Cleric
