
file;general;race;class;anim;deathvar;dialog;level;gender;sex;allegiance;overrideScript;classScript;raceScript;generalScript;defaultScript;helmet;shield;lring;rring;amulet;weapon1;weapon2;weapon3;weapon4;xpv;name
25SPELL;HUMANOID;HUMAN;INNOCENT;MONK;25spell;25spell;20;MALE;MALE;NEUTRAL;steal25;25SPELL;CMAGE20A;None;WTASIGHT;;;;;;;;;;10000;Lazarus Librarus
A#FERA01;ANIMAL;DOG;DOG_WILD;DOG_WILD;;;1;MALE;MALE;CONTROLLED;DIREWOLF;None;None;None;WTASIGHT;;;;;;P1-4;;;;0;Wild Dog
A#FERA02;ANIMAL;WOLF;WOLF;WOLF;None;;3;MALE;MALE;CONTROLLED;None;None;WOLF;None;WTASIGHT;;;;;;P1-4;;;;0;Wolf
A#FERA03;ANIMAL;WOLF;WOLF_DIRE;WOLF_DIRE;None;;4;MALE;MALE;CONTROLLED;None;None;DIREWOLF;HUNTER;WTASIGHT;;;;;;P1-8;;;;0;Dire Wolf
A#FERA04;ANIMAL;WOLF;WOLF_DIRE;WOLF_DIRE;None;;4;MALE;MALE;CONTROLLED;None;None;DIREWOLF;;WTASIGHT;;;;;;P1-8;;;;0;Pack Leader
AATAQAH;GIANTHUMANOID;GENIE;GENIE_DJINNI;DJINNI;aataqah;aataqah;5;NIETHER;MALE;NEUTRAL;SHOUTDL2;None;None;None;None;;;;;MINHP1;B3-24;;;;5000;Aataqah
ABAZDG02;MONSTER;DRAGON;RED_DRAGON;DRAGON_PURPLE;abazdg02;abazdg02;25;FEMALE;FEMALE;ENEMY;None;None;None;None;abazdg02;;;;DRAGRING;;DRAGPUR1;;;;29000;Tamah
ABAZIGAL;MONSTER;DRAGON;SHADOW_DRAGON;FIGHTER_MALE_HUMAN;Abazigal1;Abazigal;30;MALE;MALE;ENEMY;None;None;ABAZIGAL;None;abaz2;HELMNOAN;;BHAALHP1;;;ABAZ03;;;;25000;Abazigal
ABISRED1;MONSTER;DEMONIC;TANARI;CORNUGON;abisred1;None;13;NIETHER;MALE;ENEMY;None;none;None;None;wtasight;;;immune3;RINGDEMN;reghp2r;p3-12m4;;;;9000;Abishai
ABYDEM01;MONSTER;DEMONIC;TANARI;TANARRI;abydem01;abydem01;10;NIETHER;MALE;NEUTRAL;shoutdlg;TANARI;None;WTASIGHT;None;;;ringdemn;;;S1-12M2;;;;10000;Tanar'ri
ACOLYTE1;HUMANOID;HUMAN;CLERIC;CLERIC_MALE_HUMAN;acolyte1;acolyte1;5;MALE;MALE;NEUTRAL;SHT0904;None;PRIEST5;None;WTASIGHT;;;;;;BLUN01;;;;480;Talon Zogas
ACOLYTE2;HUMANOID;HUMAN;CLERIC;CLERIC_FEMALE_HUMAN;acolyte2;acolyte2;5;FEMALE;FEMALE;NEUTRAL;TALWAR;SHT0902;PRIEST5;None;WTASIGHT;;;;;;STAF01;;;;480;Dawnbringer Alvanna
ACOLYTE3;HUMANOID;HUMAN;CLERIC;CLERIC_MALE_HUMAN;acolyte3;acolyte3;5;MALE;MALE;NEUTRAL;SHT0901;None;PRIEST5;None;WTASIGHT;;;;;;STAF01;;;;480;Watchknight Aabir
AEEXTORT;HUMANOID;HUMAN;FIGHTER;FIGHTER_MALE_HUMAN;aeextort;aeextort;10;MALE;MALE;NEUTRAL;SHOUT;None;None;None;WTASIGHT;;;;;;dagg01;;;;1400;Hanj
AEGNOLL;HUMANOID;GNOLL;GNOLL;GNOLL;aegnoll;aegnoll;2;MALE;MALE;ENEMY;aegnoll;None;WTASIGHT;None;None;;;;;;HALB01;;;;35;Gnoll
AELOTUS;HUMANOID;HUMAN;INNOCENT;SHADOW_THIEF;aelotus;aelotus;1;MALE;MALE;NEUTRAL;SHOUT;RUNENEMY;None;None;WTRUNSGT;;;;;;;;;;15;Bandon
AEMERCH;HUMANOID;HUMAN;INNOCENT;FAT_MAN;aemerch;aemerch;1;MALE;MALE;NEUTRAL;SHOUT;INITRG13;AEMERCH;None;WTRUNSGT;;;;;;;;;;15;Merchant
AEMERHOB;HUMANOID;HOBGOBLIN;FIGHTER;HOBGOBLIN;aemerhob;aemerhob;1;MALE;MALE;ENEMY;GENSHT01;aemerhob;None;None;WTASIGHT;HELM01;;;;;COMPS01;;;;35;Hobgoblin Archer
