ASSASSINATIONS: 39 new, 0 changed

NEW (39):
  O#C#SPY   Pugney
  O#CRALE   Sir Alexis
  O#CRAMA   Amara
  O#CRBOY   Boy
  O#CRCHRI  Chris
  O#CRDAT   Inspector Daton
  O#CRENF1  Cowled Enforcer
  O#CRENF2  Cowled Enforcer
  O#CRFEIN  Fein
  O#CRGAN   Gannis
  O#CRGIR2  Girl
  O#CRGOON  Assassin
  O#CRGU31  Amnian Guard
  O#CRGU32  Amnian Guard
  O#CRGU71  Mercenary
  O#CRGU72  Mercenary
  O#CRGU73  Mercenary
  O#CRGUA1  Lord Melyin's Bodyguard
  O#CRGUA2  Lord Melyin's Bodyguard
  O#CRKERN  Kern
  O#CRLAH   Lahar Feenick
  O#CRLAH1  Feenick's Bodyguard
  O#CRLAH2  Feenick's Bodyguard
  O#CRLAH3  Feenick's Bodyguard
  O#CRLAH4  Feenick's Bodyguard
  O#CRMEL   Lord Melyin
  O#CRNEV   Nevier Costa
  O#CRQYR   Qyr
  O#CRSIM   Simon
  O#CRSOPH  Lady Sofia
  O#CRSTEE  Oulav Steros
  O#CRSTG1  Thug
  O#CRSTG2  Thug
  O#CRTEA   Tea
  O#CRWOM3  Crying Woman
  O#DAMIR   Lord Damir
  O#GEWEN   Captain Gewen
  O#LYNN    Lynn
  O#RHIN    Rhin
