Poisoned_pathways: 155 new, 0 changed

NEW (155):
  AC#PP06B  Brown Bear
  AC#PP06G  Groundhog
  AC#PP06M  Rat
  AC#PP06P  Pheasant
  AC#PP06R  Rabbit
  AC#PP06S  Squirrel
  AC#PP19A  Zombie
  AC#PP70Z  Fallen Tree
  AC#PP77W  Banshee
  AC#PP971  Maddlethorpe Vemmil
  AC#PP972  Wimpley Ulvax
  AC#PP973  Edvarr Nolthune
  AC#PP974  Archer
  AC#PP975  Archer
  AC#PPAL1  Allip
  AC#PPAL2  Allip
  AC#PPANN  Mesmerized Ankheg
  AC#PPASU  Ankheg
  AC#PPBA1  Naerwyn
  AC#PPBES  Erlavanas Myth'yalv
  AC#PPBG7  Bone Weird
  AC#PPBGL  Lesser Bone Weird
  AC#PPBGO  Bone Weird
  AC#PPBJA  Blightspawn Ankheg
  AC#PPBLO  Ancient Blood Amniote
  AC#PPBOY  Henry
  AC#PPBP   Blood Puddle
  AC#PPC6E  Priest of Eldath
  AC#PPCAA  Aunt Pesca
  AC#PPCHA  Larrin
  AC#PPCHS  Chasme
  AC#PPCHT  Dwarf
  AC#PPDBD  Warden of the Day
  AC#PPDBN  Warden of the Night
  AC#PPDED  Adventurer
  AC#PPDER  Deer
  AC#PPDR1  Maiden of the Grotto
  AC#PPDW1  Zalyndar
  AC#PPDW2  Drow Warrior
  AC#PPDW3  Drow
  AC#PPEAE  Graveearth Elemental
  AC#PPEEA  Elv-Esster Aened
  AC#PPEL1  Merethan
  AC#PPEL2  Merethan
  AC#PPEL3  Priest of Eldath
  AC#PPEL4  Alatoasz Berendim
  AC#PPEL8  Sister Irinwe
  AC#PPELH  Priest of Eldath
  AC#PPELR  Priest of Eldath
  AC#PPELS  Priest of Eldath
  AC#PPELX  Brother Elonar
  AC#PPELY  Brother Meyndel
  AC#PPELZ  Brother Thalen
  AC#PPEX2  Brother Elonar
  AC#PPEY2  Brother Meyndel
  AC#PPEZ2  Brother Thalen
  AC#PPFAE  Dell-Light Twins
  AC#PPFI1  Varric Redscar
  AC#PPFUN  Spore Colony
  AC#PPGH1  Ghoul
  AC#PPHE1  Spirit of Elv-Esster Aened
  AC#PPHE2  Spirit of Elv-Esster Aened
  AC#PPHE3  Elven Spirit
  AC#PPHEL  Elven Spirit
  AC#PPHEZ  Hezrou
  AC#PPIL2  Mannatarv
  AC#PPILL  Mannatarv
  AC#PPILW  Sick Woman
  AC#PPJEG  Green Slime
  AC#PPLHS  Lhiannan Shee
  AC#PPMA1  Waiting Man
  AC#PPMA2  Waiting Man
  AC#PPMA3  Waiting Man
  AC#PPMA4  Waiting Man
  AC#PPMAN  Brother Edrim
  AC#PPMG1  Mutated Gibberling
  AC#PPMI   Mismal Al'Visalle
  AC#PPMI3  Mismal Al'Visalle
  AC#PPMI6  Mismal Al'Visalle
  AC#PPMI7  Mismal Al'Visalle
  AC#PPMON  Montrassa
  AC#PPMSP  Mutated Spider
  AC#PPMUM  Mummy
  AC#PPMYS  Brother Calmfire
  AC#PPMYT  Mythrien Sarath
  AC#PPNAB  Nabassu
  AC#PPON1  Quietbrook
  AC#PPON2  Brother Gentleswarm
  AC#PPON3  Peacefang
  AC#PPON4  Quietbrook
  AC#PPON5  Peacefang
  AC#PPOR1  Wadal Hrun
  AC#PPOR2  Wadal Hrun
  AC#PPOTY  Otyugh
  AC#PPPOI  Poison Manifestation
  AC#PPPOW  Poison Weird
  AC#PPPX   Will-o'-pox
  AC#PPRAK  Rakshasa
  AC#PPSA2  Skeleton Archer
  AC#PPSCR  Scorpion
  AC#PPSD1
  AC#PPSD2
  AC#PPSD3
  AC#PPSIR  Na'arla
  AC#PPSK8  Skeleton Archer
  AC#PPSK9  Skeleton
  AC#PPSKA  Skeleton Archer
  AC#PPSKD  Skann Delth
  AC#PPSKF  Skeleton
  AC#PPSKK  Skeleton
  AC#PPSKM  Skeleton Mage
  AC#PPSKW  Skeleton
  AC#PPSLM  Sleeping Man
  AC#PPSLW  Sleeping Woman
  AC#PPSM2  Skeleton Mage
  AC#PPSM3  Skeleton Mage
  AC#PPSMD  Shambling Mound
  AC#PPSN1  Viper
  AC#PPSON  Elven Spirit
  AC#PPSP7  Blood-Soaked Spirit
  AC#PPSPD  Small Spider
  AC#PPSPI  Blood-Soaked Spirit
  AC#PPSPW  Wraith Spider
  AC#PPST1  Brother Calmor
  AC#PPST2  Brother Stillnor
  AC#PPST4  Novice
  AC#PPSYM  Gruesome Symbiote
  AC#PPTA1  Delgorth
  AC#PPTA2  Delgorth
  AC#PPTAL  Poison Incarnation
  AC#PPTME  Debbie Gobblebubble
  AC#PPWIW  Will-O'-Wild
  AC#PPWO2  Will-O'-Wisp
  AC#PPWO3  Will-O'-Wisp
  AC#PPWOC  Carven
  AC#PPWOD  Will-O'-Dead
  AC#PPWOS  Winter Wolf
  AC#PPWOW  Will-O'-Wisp
  AC#PPWY1  Zombie
  AC#PPWY2  Zombie
  AC#PPWY7  The Undying
  AC#PPWY8  The Undying
  AC#PPWY9  The Undying
  AC#PPWYR  The Undying
  AC#PPWYS  Baby Wyvern
  AC#PPWYV  Wyvern
  AC#PPYTM  Yuan-ti Mage
  AC#PPYU2  Yuan-Ti Archer
  AC#PPYU3  Yuan-ti
  AC#PPYUA  Yuan-ti
  AC#PPZAR  Zar’khaan
  AC#PPZMT  Zombie Treant
  AC#PPZOM  Mud Zombie
  AC#PPZOT  Zombie Treant
  AC#PPZOZ  Zombie Treant
