TOD: 31 new, 0 changed

NEW (31):
  VA#ASTSD  Astral Shard
  VA#BALOR  Baloar
  VA#FSALA  Fire Salamander
  VA#GHOST  Spirit
  VA#GITF1  Githyanki
  VA#GITF2  Githyanki
  VA#GITFM  Githyanki
  VA#GULI2  Gulin
  VA#GULIN  Gulin
  VA#ISALA  Ice Salamander
  VA#KERGO  Captain Kergo
  VA#LICH   Servant
  VA#LIZRD  Lizard Man Shaman
  VA#MARIL  Astral Shard Guardian
  VA#MINOT  Minotaur
  VA#ORC    Orc Archer
  VA#OROG   Orog
  VA#PANDA  Pandaira
  VA#PRISN  Prisoner
  VA#SHD01  Shadow Master
  VA#SHDGL  Shadow
  VA#SPY01
  VA#SPY02
  VA#TIAN   Tian
  VA#TIAN2  Tian
  VA#USTRN  Ustrain
  VA#WISTE  Wistemach
  VA#ZOM01  Sea Zombie
  VA#ZOM02  Sea Zombie
  VA#ZOM03  Sea Zombie
  VA#ZOMGL  Sea Zombie
