EILISTRAEE: 28 new, 0 changed

NEW (28):
  ESXBARD   Thas'zzaria
  ESXBEA    Bear
  ESXBIO    Drow
  ESXBLADE  Dancing Blade
  ESXCC     Ostra
  ESXCC2    Ostra
  ESXCD     Chain Demon
  ESXCG     Crying Girl
  ESXELF    Drow
  ESXEO     Eo
  ESXJOI    Joi
  ESXLICH   DemiLich
  ESXMH     Fall
  ESXMH2    Fall
  ESXPRIE   Sword Dancer-Sentinel
  ESXQUIF   Quif DeVir
  ESXRAB    Rabbit
  ESXSE     Sleeping Drow
  ESXSER    Mist Creature
  ESXSERM   Deadly zombie
  ESXSHA2   Shas'tan
  ESXSHAS   Shas'tan
  ESXSNA    Child of Sseth
  ESXSOLA   Solaufein
  ESXTH     Hooded Man
  ESXVASH   Vash
  ESXWOM    Woman
  ESXYOEA   Yoea
