FISHINGFORTROUBLE: 233 new, 0 changed

NEW (233):
  YSADAG    Adag
  YSADARA   Adara
  YSAELLA   Aella
  YSAIESHA  Aiesha
  YSAILOTH  Ailoth Tam
  YSAIN     Ain
  YSAINE    Aine
  YSAKIL    Akil
  YSAKILAH  Akilah
  YSAKILFR  Desert Bandit
  YSANGHRD  Angharad Firehair
  YSAPOPF   Commoner
  YSAPOPM   Commoner
  YSARMSTO  Tralthor One-Eye
  YSATBOW   Red Guard
  YSATGRD   Red Guard
  YSBASIMA  Basimah
  YSBEHOL1  Death Tyrant
  YSBEHOL2  Death Tyrant
  YSBENGCH  Maredudd Bengoch
  YSBLGRD   Mercenary Guard
  YSBLKSTO  Havren Holdsmith
  YSBLMR    Mordaran Rockfist
  YSBLRWZ   Megred Darlesson
  YSBOY1    Boy
  YSBOY1R   Boy
  YSBOY2    Boy
  YSBOY2R   Boy
  YSBRAN    Bran
  YSCADFAN  Cadfan
  YSCADO    Cado
  YSCDCG    Cave Guardian
  YSCDCG1   Cave Guardian
  YSCDCG2   Cave Guardian
  YSCDCOOK  Water's Edge Chef
  YSCDDWF1  Desert Wanderer
  YSCDDWM1  Desert Wanderer
  YSCDDWM2  Desert Wanderer
  YSCDF1    Commoner
  YSCDF2    Commoner
  YSCDF3    Commoner
  YSCDF4    Commoner
  YSCDFSRV  Servant
  YSCDM1    Commoner
  YSCDM2    Commoner
  YSCDM3    Commoner
  YSCDM4    Commoner
  YSCDMER1  Merchant
  YSCDMER2  Merchant
  YSCDMER3  Merchant
  YSCDMSRV  Servant
  YSCEINWN  Ceinwen Ravenhair
  YSCELL1   Watchguard
  YSCELL2   Watchguard
  YSCELL3   Watchguard
  YSCELL4   Watchguard
  YSCELL5   Watchguard
  YSCGROAD  Caravan Guard
  YSCGTOWR  Watchguard
  YSCHBND   Bandit
  YSCHCAPT  Guard Captain
  YSCHCLR   Priest of Helm
  YSCHCOM1  Commoner
  YSCHCOM2  Commoner
  YSCHCOM3  Commoner
  YSCHCOM4  Peasant
  YSCHCOM5  Peasant
  YSCHCOM6  Peasant
  YSCHDG    Red Guard Warder
  YSCHEARL  Earl Wultheof
  YSCHNOB1  Nobleman
  YSCHNOB2  Nobleman
  YSCHNOB3  Nobleman
  YSCHNOB4  Nobleman
  YSCHNOB5  Noblewoman
  YSCHNOB6  Noblewoman
  YSCHNOB7  Noblewoman
  YSCHVAM   Child Vampire
  YSCNTWUL  Countess Wultheof
  YSCOLLA   Colla mic Tigernach
  YSCOOK1   Cook
  YSCOOK2   Cook
  YSCRNBL   Bell
  YSCVMSTR  Caravan Master
  YSCWLWIZ  Cowled Wizard
  YSDERV    Derval
  YSDLDOP   Meilir of Meilirion
  YSDROSIG  Drosig
  YSDWFGR2  Death Knight Guardian
  YSDWFGRD  Death Knight Guardian
  YSDWFKNT  Death Knight Lord
  YSDWFLRD  Meilir of Meilirion
  YSELCOL1  Eildaren Colver
  YSELCOL2  Eildaren Colver
  YSELM01   Elminster
  YSELPARA  Elizabeth Pavaral
  YSEUNCH   Eunuch Guard
  YSFHSLP   Commoner
  YSFIRDOS  Firdos
  YSFSERV   Servant
  YSGADIL   Gadil
  YSGAELIE  Gaelie Trimthorn
  YSGALID   Apprentice Galidor
  YSGAOL    Gaoler
  YSGARGEL  Garalial Geltarath
  YSGENGRD  Guardsman
  YSGENSTO  Old Mother Dorwen
  YSGIBMEL  Gibri'al Meltarm
  YSGIRL1   Girl
  YSGIRL1R  Girl
  YSGIRL2   Girl
  YSGIRL2R  Girl
  YSGIRL3   Girl
  YSGIRL3R  Girl
  YSGIRL4   Girl
  YSGIVON   Givon
  YSGRMARC  Grimward Archer
  YSHANSOL  Hansol Ynnilross
  YSHAREM1  Harem Girl
  YSHAREM2  Harem Girl
  YSHLDGRD  Hold Guard
  YSJALIL   Jalil
  YSJEHAN   Jehan
  YSKALUN   Kalun Trimthorn
  YSKARIM   Karim
  YSKELDRL  Keldral
  YSKHOURY  Khoury
  YSLEVON   Levon
  YSLEVONG  Guard
  YSLKEEP   Daalin the Light
  YSLTOR    Lief Torman
  YSLUGH    Lughaidh
  YSMAN1    Commoner
  YSMAN1R   Commoner
  YSMAN2    Commoner
  YSMAN2R   Commoner
  YSMAN3    Commoner
  YSMAN3R   Commoner
