BACKBRYNNLAW: 97 new, 0 changed

NEW (97):
  O#ALIA    Alia
  O#BERLG1  Cowled Enforcer
  O#BERLG2  Cowled Enforcer
  O#BERLG3  Cowled Enforcer
  O#BERLI1  Berlin
  O#BERLIN  Berlin
  O#BRELE1  Greater Fire Elemental
  O#BRELE2  Greater Fire Elemental
  O#BRELE3  Greater Fire Elemental
  O#BRELE4  Greater Fire Elemental
  O#BRIMP1  Fire Mephit
  O#BRIMP2  Fire Mephit
  O#BRIMP3  Magma Mephit
  O#BRIMP4  Smoke Mephit
  O#BRSAL1  Salamander
  O#BRSAL2  Salamander
  O#BRYCW1  Cowled Enforcer
  O#BRYCW2  Cowled Enforcer
  O#BRYCW3  Cowled Enforcer
  O#BRYN10  Commoner
  O#BRYN11  Commoner
  O#BRYNB   Innkeeper
  O#BRYNT   Black Market Thief
  O#BRYNT1  Peasant
  O#BRYNT2  Mercenary
  O#BRYNT3  Courtesan
  O#BRYNT4  Mercenary
  O#BRYNT5  Mercenary
  O#BRYNT6  Peasant
  O#BRYNT7  Mercenary
  O#BRYNT8  Boy
  O#BRYNT9  Girl
  O#DORA    Dora
  O#DORA10  Cowled Battle Mage
  O#DORA11  Cowled Battle Mage
  O#DORA12  Cowled Battle Mage
  O#DORAB1  Mercenary
  O#DORAB2  Mercenary
  O#DORAB3  Mercenary
  O#DORAB4  Mercenary
  O#DORAB5  Mercenary
  O#DORAB6  Mercenary
  O#DORAB7  Mercenary
  O#DORAB8  Mercenary
  O#DORAB9  Mercenary
  O#FOREL   Forel
  O#GALV1   Cowled Battle Mage
  O#GALV2   Archer
  O#GALVEN  Galvena
  O#GHOST   Monroe
  O#GHOSTG  Monroe's Grandfather
  O#GONI    Goni
  O#GONICA  Captain Rivers
  O#GONIW1  Courtesan
  O#GONIW2  Courtesan
  O#IRENE   Irene
  O#JEREMY  Captain Jeremy
  O#KETTA   Ketta
  O#KVAS    Kvas
  O#KVASW1  Courtesan
  O#KVASW2  Courtesan
  O#KVASW3  Courtesan
  O#KVASW4  Courtesan
  O#KVASW5  Courtesan
  O#KVASW6  Courtesan
  O#MYST    Mysterious Figure
  O#PIRAT1  Sailor
  O#PIRAT2  Sailor
  O#REVIN   Revin
  O#REVINS  Revin's Slaver Contact
  O#REVIS1  Guard
  O#REVIS2  Guard
  O#REVIS3  Guard
  O#REVIS4  Guard
  O#ROSLIN  Roslin
  O#SION    Sion
  O#SLAVA   Slava
  O#WIZAT1  Cowled Enforcer
  O#WIZAT2  Cowled Enforcer
  O#WIZATH  Cowled Enforcer
  O#WIZGO1  Clay Golem
  O#WIZGO2  Clay Golem
  O#WIZSL1  Cowled Enforcer
  O#WIZSL2  Cowled Enforcer
  O#WIZSLA  Cowled Enforcer
  O#WIZSP1  Cowled Enforcer
  O#WIZSP2  Cowled Enforcer
  O#WIZSP3  Cowled Battle Mage
  O#WIZSP4  Cowled Battle Mage
  O#WIZSP5  Cowled Battle Mage
  O#WIZSPE  Cowled Enforcer
  O#WOLL    Captain Woll
  O#WOLLF1  Pirate
  O#WOLLF2  Pirate
  O#WOLLF3  Pirate
  O#WOLLFM  Pirate Leader
  O#YASEN   Yasen
