
file;general;race;class;anim;deathvar;dialog;level;gender;sex;allegiance;overrideScript;classScript;raceScript;generalScript;defaultScript;helmet;shield;lring;rring;amulet;weapon1;weapon2;weapon3;weapon4;xpv;name
25SPELL;HUMANOID;HUMAN;INNOCENT;MONK;25spell;25spell;20;MALE;MALE;NEUTRAL;steal25;25SPELL;CMAGE20A;None;WTASIGHT;;;;;;;;;;10000;Lazarus Librarus
A#FERA01;ANIMAL;DOG;DOG_WILD;DOG_WILD;;;1;MALE;MALE;CONTROLLED;DIREWOLF;None;None;None;WTASIGHT;;;;;;P1-4;;;;0;Wild Dog
A#FERA02;ANIMAL;WOLF;WOLF;WOLF;None;;3;MALE;MALE;CONTROLLED;None;None;WOLF;None;WTASIGHT;;;;;;P1-4;;;;0;Wolf
A#FERA03;ANIMAL;WOLF;WOLF_DIRE;WOLF_DIRE;None;;4;MALE;MALE;CONTROLLED;None;None;DIREWOLF;HUNTER;WTASIGHT;;;;;;P1-8;;;;0;Dire Wolf
A#FERA04;ANIMAL;WOLF;WOLF_DIRE;WOLF_DIRE;None;;4;MALE;MALE;CONTROLLED;None;None;DIREWOLF;;WTASIGHT;;;;;;P1-8;;;;0;Pack Leader
A7#ABB;MONSTER;DEMONIC;IMP;ABISHAI_BLACK;A7#AbisBlack;A7#DDVL2;11;NIETHER;MALE;NEUTRAL;A7#ENMY;A7#CABB;A7#ABS;None;A7#EVIL2;;;IMMUNE2;RINGDEMN;REGHP2R;P3-12M4;;;;1750;Black Abishai
A7#ABG;MONSTER;DEMONIC;IMP;ABISHAI_GREEN;A7#AbisGreen;A7#DDVL2;11;NIETHER;MALE;NEUTRAL;A7#ENMY;A7#CABG;A7#ABS;None;A7#EVIL2;;;IMMUNE2;RINGDEMN;REGHP2R;P3-12M4;;;;2000;Green Abishai
A7#ABR;MONSTER;DEMONIC;IMP;ABISHAI_RED;A7#AbisRed;A7#DDVL2;11;NIETHER;MALE;NEUTRAL;A7#ENMY;A7#CABR;A7#ABS;None;A7#EVIL2;;;IMMUNE2;RINGDEMN;REGHP2R;P3-12M4;;;;2250;Red Abishai
A7#CHIGH;HUMANOID;DRONE;FIGHTER;A7_DRONE_HEAVY;A7#CHigh;;9;NIETHER;NIETHER;NEUTRAL;A7#ENMY;A7#CHIGH;A7#DRON2;;A7#EVIL;;;A7#RING1;;;S2-16M2;;;;1000;High Threat Construct
A7#CHSU;HUMANOID;DRONE;FIGHTER;A7_DRONE_HEAVY;A7#CHighSu;;9;SUMMONED;NIETHER;CONTROLLED;;;;;BDSUM00;;;A7#RING1;;;A7#CHWP;A7#CHWP;A7#CHWP;A7#CHWP;0;High Threat Construct
A7#CLOW;HUMANOID;DRONE;FIGHTER;A7_DRONE_LIGHT;A7#CLow;;3;NIETHER;NIETHER;NEUTRAL;A7#ENMY;A7#CLOW;None;None;A7#EVIL;;;A7#RING1;;;S1-8;;;;125;Low Threat Construct
A7#CLSU;HUMANOID;DRONE;FIGHTER;A7_DRONE_LIGHT;A7#CLowSu;;3;SUMMONED;NIETHER;CONTROLLED;;;None;None;BDSUM00;;;A7#RING1;;;A7#CLWP;A7#CLWP;A7#CLWP;A7#CLWP;0;Low Threat Construct
A7#COR;MONSTER;DEMONIC;IMP;CORNUGON;A7#Cornugon;A7#DDVL2;13;NIETHER;MALE;NEUTRAL;A7#ENMY;A7#CCOR;A7#COR;;A7#EVIL2;HELMNOAN;;IMMUNE2;RINGDEMN;REGHP2R;CORNUGON;;;;2500;Cornugon
A7#COR1;MONSTER;DEMONIC;IMP;A7_CORNUGON_BLACK;A7#Cornugon;A7#DCOR1;13;NIETHER;MALE;NEUTRAL;A7#COR1;none;;;;HELMNOAN;;IMMUNE2;RINGDEMN;REGHP2R;CORNUGON;;;;2500;Dogreth the Taskmaster
A7#CTSPY;HUMANOID;NO_RACE;NO_CLASS;BIRD;a7#cutspy;None;1;NIETHER;MALE;NEUTRAL;None;None;None;None;None;;;;MAGE01;IMOENHP1;;;;;0;<Invalid Strref -1>
A7#CWIZ;HUMANOID;DRONE;MAGE;A7_DRONE_WIZARD;A7#CWiz;;14;MALE;MALE;NEUTRAL;A7#ENMY;A7#CWIZ;A7#DRON3;None;A7#EVIL;;;A7#RING1;;;P3-12M4;;;;1250;Wizard Construct
