TIDINGS: 71 new, 0 changed

NEW (71):
  AC#DT01L  Greater Lacedon
  AC#DT01M  Blackseer Brokus
  AC#DT01S  Sirine
  AC#DT02S  Sirine
  AC#DT10S  Shadow
  AC#DT12M  Blackseer Brokus
  AC#DT12W  Skeleton Warrior
  AC#DT18G  Undead Guardian
  AC#DT1PC  Cultist
  AC#DT20S  Skara
  AC#DT21C  Dark Voice
  AC#DT21S  Sirine
  AC#DT21W  Shadow
  AC#DT21X  Shadow Elemental
  AC#DT2BS  Sirine
  AC#DT2PC  Cultist
  AC#DT30A  Cultist
  AC#DT30B  Cultist
  AC#DT30F  Gracie
  AC#DT30G  Undead Guardian
  AC#DT30S  Dark Siren
  AC#DT30W  Greater Wraith
  AC#DT3PC  Cultist
  AC#DT4PC  Cultist
  AC#DT5PC  Cultist
  AC#DTDIG  Dire Guard
  AC#DTDKN  Death Knight
  AC#DTDR1  Seaman Ahmer
  AC#DTDR2  Seaman Bog
  AC#DTEWD  Earth Weird
  AC#DTFS1  Sailor
  AC#DTFS2  Sailor
  AC#DTJH2  Jhanex
  AC#DTJH3  Jhanex
  AC#DTJHA  Jhanex
  AC#DTLAC  Lacedon
  AC#DTMYR  Water Myrmidon
  AC#DTNWI  Nightwing
  AC#DTOIO  Oil Ooze
  AC#DTPL1  <PLAYER1>'s Shadow
  AC#DTPL2  <PLAYER2>'s Shadow
  AC#DTPL3  <PLAYER3>'s Shadow
  AC#DTPL4  <PLAYER4>'s Shadow
  AC#DTPL5  <PLAYER5>'s Shadow
  AC#DTPL6  <PLAYER6>'s Shadow
  AC#DTSA1  Sailor
  AC#DTSA2  Sailor
  AC#DTSA3  Darius
  AC#DTSH2  Shadow
  AC#DTSHM  Shadow Mastiff
  AC#DTSLF  Mudform
  AC#DTSM1  Shadow Mastiff
  AC#DTSN1  Viper
  AC#DTST1  Shadow Troll
  AC#DTSW0  Black Molly
  AC#DTSW1  Black Molly
  AC#DTSW2  Black Molly
  AC#DTTH1  Aspect of Tharizdun
  AC#DTTH2  Shadow Shape
  AC#DTTR1  Sea Troll
  AC#DTTR2  Sea Troll
  AC#DTTRD  Sea Troll
  AC#DTVDG  Varrdig
  AC#DTVER  Vergol
  AC#DTVY1  Thalass
  AC#DTVY2  Thalass
  AC#DTW12  Water Elemental
  AC#DTW16  Water Elemental
  AC#DTWE2  Water Elemental
  AC#DTWEL  Water Elemental
  AC#DTWSU  Lesser Water Elemental
