BLOODIEDSTINGSOFBAROVIA: 40 new, 0 changed

NEW (40):
  L#RVBANS  Geist
  L#RVBAT   Barovian Bat
  L#RVBATF  Bat
  L#RVBBB   Crooked Death's Head Tree
  L#RVBBBH  Dreadful Head
  L#RVBOAR  Angered Boar
  L#RVBSM   Blacksmith's Ghost
  L#RVCHI1  Little Borniv
  L#RVCHI2  Child
  L#RVCHI3  Child
  L#RVCHSU  Misty
  L#RVCOM   Wanderer
  L#RVFARM  Tâneasr
  L#RVGOLE  Wax Golem
  L#RVHONE  Necrotic Honey
  L#RVKING  Venirlaw Bloodjacket
  L#RVKNI   Undead Knight
  L#RVLADY  Lady of the Bones Buried in Mud
  L#RVLOUP  Viâsz, the Loup Garou
  L#RVMAGG  Bloodlusty Maggot
  L#RVQUEE  Evemorî Ernica-Bloodjacket
  L#RVRAVE  Raven
  L#RVSERV  Servant's Ghost
  L#RVSKLP  Skeletal Priest
  L#RVSNAK  Snake
  L#RVSSU1  The Memory of Sindk
  L#RVSSU2  The Memory of Bvol
  L#RVSSU3  The Memory of Samvina
  L#RVSTA   Necromancer
  L#RVSTON  Statue
  L#RVSWA2  Buzzing Swarm
  L#RVSWAR  Buzzing Swarm
  L#RVTRE1  Tree and Vines
  L#RVTREA  Bloodied Treant
  L#RVVAMP  Sjerhan
  L#RVVGAS  Gaseous Form
  L#RVWERE  Bee-Covered Werewolf
  L#RVWOM   Will O'Mist
  L#RVZDOE  Zombie Doe
  L#RVZOMB  Fog Cadaver
