file;general;race;class;anim;deathvar;dialog;level;gender;sex;allegiance;overrideScript;classScript;raceScript;generalScript;defaultScript;helmet;shield;lring;rring;amulet;weapon1;weapon2;weapon3;weapon4;xpv;origin;summon;comment;MonsterId;ValidatedMonsterId;ValidatedLevel;ValidatedItems;ValidatedScript;game;name
D9LKILL2;GIANTHUMANOID;GOLEM;GOLEM_IRON;GOLEM_IRON;None;;18;EXTRA3;MALE;ENEMY;d9dwctyz;None;None;A7!GXAD2;dw2mc2mo;;;IMMUNE3;IRONGOL;;GOLIRO;;;;25000;butchery;;;AdamantiteGolem;false;;;;;Adamantite Golem
GOLADA01;GIANTHUMANOID;GOLEM;GOLEM_IRON;GOLEM_IRON;None;;18;NIETHER;MALE;ENEMY;GENSHT01;None;None;A7!GXAD2;dw2mc2mo;;;IMMUNE3;IRONGOL;;GOLIRO;;;;25000;bg2;;;AdamantiteGolem;false;;;;;Adamantite Golem
GOLKILL2;GIANTHUMANOID;GOLEM;GOLEM_IRON;GOLEM_IRON;None;;18;NIETHER;MALE;ENEMY;GENSHT01;None;None;A7!GXAD2;dw2mc2mo;;;IMMUNE3;IRONGOL;;GOLIRO;;;;25000;bg2;;;AdamantiteGolem;false;;;;;Adamantite Golem
GORDECKB;WEAPON;GOLEM;GOLEM_IRON;GOLEM_IRON;GorDeckB;;18;NIETHER;MALE;NEUTRAL;GorDeckF;None;None;None;None;;;IMMUNE3;IRONGOL;;GOLIRO;;;;0;bg2;;;AdamantiteGolem;false;;;;;Adamantite Golem
AC#W30F1;HUMANOID;TIEFLING;FIGHTER;FIGHTER_FEMALE_ELF;AC#W30F1;AC#W30F1;20;FEMALE;FEMALE;NEUTRAL;;;NONE;NONE;;WINGS01;;IMMUNE1;RINGDEMN;;SPER05;;;;11000;GODCALL;;;AluFiend;;;;;;Alu-Fiend
AC#W30F2;HUMANOID;TIEFLING;FIGHTER;FIGHTER_FEMALE_ELF;AC#W30F2;;20;FEMALE;FEMALE;NEUTRAL;;;NONE;NONE;;WINGS01;;IMMUNE1;RINGDEMN;;SPER05;;;;11000;GODCALL;;;AluFiend;;;;;;Alu-Fiend
ANKHEG;MONSTER;ANKHEG;ANKHEG;ANKHEG;ankheg;;8;NIETHER;MALE;ENEMY;ANKHEG;None;None;None;None;;;;;;ANKHEG1;ANKHEG2;;;975;bg1;;;Ankheg;true;true;true;true;;Ankheg
ANKHEG01;MONSTER;ANKHEG;ANKHEG;ANKHEG;None;;8;NIETHER;MALE;ENEMY;GENSHT01;None;None;ANKHEG;dw2rc2mo;;;;;;ANKHEG1;ANKHEG2;;;975;bg2;;;Ankheg;true;true;true;true;;Ankheg
ANKHEGF;MONSTER;ANKHEG;ANKHEG;ANKHEG;None;;8;NIETHER;MALE;ENEMY;ANKHEG;None;None;None;None;;;;;;ANKHEG1;ANKHEG2;;;975;bg1;;;Ankheg;true;true;true;true;;Ankheg
ANKHEGG;MONSTER;ANKHEG;ANKHEG;ANKHEG;ankheg;;8;NIETHER;MALE;ENEMY;None;ANKHEGG;ANKHEG;None;None;;;;;;ANKHEG1;ANKHEG2;;;975;bg1;;;Ankheg;true;true;true;true;;Ankheg
ANKHEGQ;MONSTER;ANKHEG;ANKHEG;ANKHEG;ankheg;;8;NIETHER;MALE;ENEMY;None;None;ANKHEG;None;None;;;;;;ANKHEG1;ANKHEG2;;;975;bg1;;;Ankheg;true;true;true;true;;Ankheg
BDANKH01;MONSTER;ANKHEG;ANKHEG;ANKHEG;BDANKH01;;10;NIETHER;MALE;ENEMY;;BDANKH01;ANKHEG;;;;;;;;ANKHEG1;ANKHEG2;;;1400;bg1;;;Ankheg;true;true;true;true;;Ankheg
BDANKHEG;MONSTER;ANKHEG;ANKHEG;ANKHEG;None;;8;NIETHER;MALE;ENEMY;GENSHT01;None;None;ANKHEG;dw1ranmo;;;;;;ANKHEG1;ANKHEG2;;;975;bg1;;;Ankheg;true;true;true;true;;Ankheg
BDANKHSU;MONSTER;ANKHEG;ANKHEG;ANKHEG;BDANKHSU;;8;SUMMONED;MALE;CONTROLLED;;;;ANKHEG;BDSUM00;;;;;;ANKHEG1;ANKHEG2;;;0;bg1;true;;Ankheg;true;true;true;true;;Ankheg
BDNEO;MONSTER;ANKHEG;ANKHEG;NEOTHELID;None;;8;NIETHER;MALE;ENEMY;ANKHEG;None;None;None;None;;;;;;ANKHEG1;ANKHEG2;;;975;bg1;;;Ankheg;true;true;true;true;;Ankheg
BPANKHE1;MONSTER;ANKHEG;ANKHEG;ANKHEG;BPANKHE1;;8;NIETHER;MALE;ENEMY;BPSIGHT;ANKHEGB;None;None;None;;;;;;ANKHEG2;;;;0;bg1;;;Ankheg;true;true;true;true;;Rabid Ankheg
L#MIMMI;MONSTER;ANKHEG;ANKHEG;DOOM_GUARD;L#MIMMI;L#MIMMI;3;NIETHER;MALE;ENEMY;L#MIMMI;NONE;NONE;;dw1ranmo;;;;;;ANKHEG1;ANKHEG2;;;2200;sotsc;;;Ankheg;true;true;true;true;;Fierce Young Mimic
L#NDC2;MONSTER;ANKHEG;ANKHEG;ANKHEG;L#NDC2;;3;NIETHER;MALE;ENEMY;;NONE;NONE;ANKHEG;dw2rc2mo;;;;;;ANKHEG1;ANKHEG2;;;3075;SOUTHERNEDGE;;;Ankheg;true;true;true;true;;Greater Ankheg
L#XZEANK;UNDEAD;ANKHEG;ANKHEG;L#_ANKHEG_ZOMBIE;L#XZEANK;;3;NIETHER;MALE;ENEMY;L#XZEANK;NONE;NONE;L#XZEANK;;;;;;;ANKHEG1;ANKHEG2;L#XZEGEM;;2100;INLOVEUNDEATH;;;Ankheg;true;true;true;true;;Dreadful Zombie Ankheg
L#XZEANS;UNDEAD;ANKHEG;ANKHEG;L#_ANKHEG_ZOMBIE;L#XZEANS;;3;NIETHER;MALE;ENEMY;L#XZEANS;NONE;NONE;ANKHEG;;;;;;;ANKHEG1;ANKHEG2;;;475;INLOVEUNDEATH;;;Ankheg;true;true;true;true;;Zombie Ankheg
OHDRANKH;MONSTER;ANKHEG;ANKHEG;ANKHEG;NONE;;10;NIETHER;MALE;ENEMY;GENSHT01;NONE;NONE;ANKHEG;dw2rc2mo;;;;;;ANKHEG1;ANKHEG2;;;1500;bg2;;;Ankheg;true;true;true;true;;Corrupted Ankheg
WIANKHE1;MONSTER;ANKHEG;ANKHEG;ANKHEG;WIANKHE1;;3;NIETHER;MALE;ENEMY;BPSIGHT;ANKHEGB;None;None;None;;;;;;ANKHEG2;;;;1000;blackhearts;;;Ankheg;true;true;true;true;;Assassin Ankheg
BDWYVR02;MONSTER;WYVERN;WYVERN;WYVERN;BDWYVR02;;5;FEMALE;FEMALE;ENEMY;;BDENSHTV;;;BDNONIN;;;RING97;;;BDWYV02;;;;450;bg1;;;BabyWyvern;true;true;true;true;;Baby Wyvern
C#Q04002;MONSTER;WYVERN;MAGE;WYVERN;C#Q04002;;7;NIETHER;MALE;ENEMY;None;None;WYVERN;None;WTASIGHT;;;RING97;;;WYVERN1;WYVERN2;;;100;BGQE;;;BabyWyvern;true;true;true;true;;Baby Wyvern
PLYWYVRN;MONSTER;WYVERN;WYVERN;WYVERN;Wyvern;;7;NIETHER;MALE;ENEMY;;;;;;;;RING97;;;WYVERN1;WYVERN2;;;450;bg1,bg2;;;BabyWyvern;true;true;true;true;;Baby Wyvern
WYVBABSU;MONSTER;WYVERN;WYVERN;WYVERN_FAMILIAR;None;;6;SUMMONED;MALE;ALLY;None;None;;None;DVMELEE;;;;;;WYVBABSU;;;;0;spell_rev;true;;BabyWyvern;true;true;;true;;Baby Wyvern
WYVERBA;MONSTER;WYVERN;WYVERN;WYVERN;Wyvern;;7;NIETHER;MALE;ENEMY;dw#gpshm;None;WYVERN;None;wtasight;;;RING97;;;WYVERN1;WYVERN2;;;450;bg1;;;BabyWyvern;true;true;true;true;;Baby Wyvern
AIRASPEC;MONSTER;WYVERN;WYVERN;WYVERN;airaspec;;10;NIETHER;MALE;ENEMY;None;None;WYVERN;None;wtasight;;;RING97;;;WYVERN1;WYVERN2;;;4000;bg1;;;BabyWyvern;false;;;;;Air Aspect
AMWYVERN;MONSTER;WYVERN;MAGE;WYVERN;Wyvern;lucy;7;NIETHER;MALE;NEUTRAL;SHOUT;RIBALD;WYVERN;None;wtasight;;;RING97;;;WYVERN1;WYVERN2;;;450;bg2;;;BabyWyvern;false;;;;;Lucy
B2#AML25;MONSTER;WYVERN;CLERIC_MAGE;WYVERN_FAMILIAR;B2#AML25;B2#AML25;8;NIETHER;NIETHER;CONTROLLED;B2#AML25;None;None;None;;B2#PHHM;;REGHP1;MOVRAT10;IMMCLOUD;B2#PHAT;;;;0;WINGS;true;;BabyWyvern;false;;;;;Ammale
B2#AMML;MONSTER;WYVERN;CLERIC_MAGE;WYVERN_FAMILIAR;B2#AMML;B2#AMML;5;NIETHER;NIETHER;CONTROLLED;B2#AMML;None;None;None;;B2#PHHM;;REGHP1;MOVRAT10;IMMCLOUD;B2#PHAT;;;;0;WINGS;true;;BabyWyvern;false;;;;;Ammale
B2#PHNX;MONSTER;WYVERN;CLERIC_MAGE;WYVERN_FAMILIAR;B2#PHNX;;6;NIETHER;NIETHER;ENEMY;;None;B2#PHNX;None;dw2ms2mo;B2#PHHM;;REGHP1;MOVRAT10;IMMCLOUD;B2#PHAT;B2#PHAT;;;2800;WINGS;;;BabyWyvern;false;;;;;Phoenix
FAMFAI25;MONSTER;WYVERN;MAGE;WYVERN_FAMILIAR;FAMFAIR;FAMIL125;8;NIETHER;MALE;ALLY;;NONE;NONE;NONE;;;;FAMMY;;IMMCLOUD;MEPLIG;MEPLIG;;;0;spell_rev,bg2;;;BabyWyvern;false;;;;;Fairy Dragon
FAMFAIR;MONSTER;WYVERN;MAGE;WYVERN_FAMILIAR;FAMFAIR;FAMIL1;3;NIETHER;MALE;ALLY;;NONE;NONE;NONE;;;;FAMMY;;IMMCLOUD;MEPLIG;MEPLIG;;;0;bg1,bg2;;;BabyWyvern;false;;;;;Fairy Dragon
