
file;level;type;ids;name
SPCL102;1;Innate;BLACKGUARD_ABSORB_HEALTH;Absorb Health
SPCL103;2;Innate;BLACKGUARD_AURA_OF_DESPAIR;Aura of Despair
SPCL104;2;Innate;RESIST_FEAR;Resist Fear
SPCL105;0;Innate;IMMUNITY_TO_LEVEL_DRAIN;Negative Plane Protection
SPCL106;3;Innate;BLACKGUARD_ANIMATE_DEAD;Animate Dead
SPCL121;1;Innate;ARCHER_CALL_SHOT;Called Shot
SPCL122;0;Innate;;
SPCL123;1;Innate;;
SPCL131;0;Innate;;
SPCL132;0;Innate;;
SPCL133;0;Innate;;
SPCL141;0;Innate;;
SPCL142;0;Innate;;
SPCL143;0;Innate;;
SPCL144;1;Innate;KENSAI_KIA;Kai
SPCL151;0;Innate;;
SPCL152;1;Innate;BARBARIAN_RAGE;Barbarian Rage
SPCL153;0;Innate;;
SPCL154;0;Innate;;
SPCL211;1;Innate;PALADIN_LAY_ON_HANDS;Lay On Hands
SPCL212;1;Innate;PALADIN_DETECT_EVIL;Detect Evil
SPCL213;1;Innate;PALADIN_PROTECTION_FROM_EVIL;Protection From Evil
SPCL221;0;Innate;;
SPCL222;1;Innate;CAVALIER_REMOVE_FEAR;Remove Fear
SPCL231;1;Innate;INQUIS_DISPEL_MAGIC;Dispel Magic
SPCL232;5;Innate;INQUIS_TRUE_SIGHT;True Sight
SPCL233;4;Innate;;Protection From Evil, 10' Radius
SPCL234;0;Innate;;
SPCL235;0;Innate;;
SPCL236;1;Innate;SUN_SOUL_SUN_SOULRAY;Sun Soulray
SPCL237;4;Innate;SUN_SOUL_GREATER_SUN;Greater Sun
SPCL238;1;Innate;SUN_SOUL_FLAMING_FISTS;Flaming Fists
SPCL239;1;Innate;SUN_SOUL_SUN_SOULBEAM;Sun Soulbeam
SPCL241;0;Innate;;
SPCL242;0;Innate;;
SPCL311;1;Innate;RANGER_CHARM_ANIMAL;Charm Animal
SPCL321;1;Innate;BERSERKER_RAGE;Enrage
SPCL322;0;Innate;;
SPCL331;0;Innate;;
SPCL332;0;Innate;;
SPCL341;0;Innate;;
SPCL342;1;Innate;BEASTMASTER_FIND_FAMILIAR;Find Familiar
SPCL351;0;Innate;;
SPCL411;0;Innate;;
SPCL412;4;Innate;THIEF_SET_SNARE;Set Snare
SPCL414;4;Innate;THIEF_SET_SPECIAL_SNARE;Set Special Snare
SPCL415;0;Innate;;
SPCL417;0;Innate;;Special Snare
SPCL421;0;Innate;;
SPCL422;1;Innate;;
SPCL423;1;Innate;ASSASSIN_POISON;Poison Weapon
SPCL441;0;Innate;;
SPCL442;0;Innate;;
SPCL521;1;Innate;BLADE_OFFENSIVE_SPIN;Offensive Spin
SPCL522;1;Innate;BLADE_DEFENSIVE_SPIN;Defensive Spin
SPCL541;0;Innate;;
SPCL542;0;Innate;;
SPCL611;1;Innate;DRUID_SHAPESHIFT_BROWNBEAR;Shapeshift: Brown Bear
SPCL612;1;Innate;DRUID_SHAPESHIFT_WOLF;Shapeshift: Wolf
SPCL613;1;Innate;DRUID_SHAPESHIFT_BLACKBEAR;Shapeshift: Black Bear
SPCL621;6;Innate;TOTEMIC_DRUID_SUMMON_SPIRIT_ANIMAL;Summon Spirit Animal
SPCL622;0;Innate;;Spirit Snake
SPCL623;0;Innate;;Spirit Bear
SPCL624;0;Innate;;Spirit Lion
SPCL625;0;Innate;;Spirit Wolf
SPCL631;0;Innate;;
SPCL632;1;Innate;AVENGER_SHAPESHIFT_SWORDSPIDER;Shapeshift: Sword Spider
SPCL633;1;Innate;AVENGER_SHAPESHIFT_BABYWYVERN;Shapeshift: Baby Wyvern
SPCL634;1;Innate;AVENGER_SHAPESHIFT_FIRESALAMANDER;Shapeshift: Fire Salamander
SPCL641;2;Innate;;Charm Person or Mammal
SPCL642;0;Innate;;
SPCL643;1;Innate;SHAPESHIFTER_SHAPESHIFT_WEREWOLF;Shapeshift: Werewolf
SPCL644;1;Innate;SHAPESHIFTER_SHAPESHIFT_GREATERWEREWOLF;Shapeshift: Greater Werewolf
SPCL721;3;Priest;TALOS_STORMSHIELD;Storm Shield
SPCL722;1;Innate;TALOS_LIGHTNING_BOLT;Lightning Bolt
SPCL731;4;Innate;HELM_SEEKING_SWORD;Seeking Sword
SPCL732;5;Innate;HELM_TRUE_SIGHT;True Sight
SPCL741;4;Innate;LATHANDER_BOON;Boon of Lathander
SPCL742;3;Innate;LATHANDER_HOLD_UNDEAD;Hold Undead
SPCL751;0;Innate;;
SPCL801;0;Innate;;
SPCL811;1;Innate;MONK_STUNNING_BLOW;Stunning Blow
SPCL812;0;Innate;;
SPCL813;0;Innate;;
SPCL814;0;Innate;;
SPCL815;1;Innate;MONK_LAY_ON_HANDS;Lay On Hands
SPCL816;0;Innate;;
SPCL817;0;Innate;;
SPCL818;0;Innate;;
SPCL819;0;Innate;;
SPCL820;1;Innate;MONK_QUIVERING_PALM;Quivering Palm
SPCL821;0;Innate;;
SPCL822;0;Innate;;
SPCL900;1;Innate;WARRIOR_WHIRLWIND;Whirlwind Attack
SPCL901;1;Innate;WARRIOR_GREATER_WHIRLWIND;Greater Whirlwind Attack
SPCL902;1;Innate;WARRIOR_DEATHBLOW;Deathblow
SPCL903;1;Innate;WARRIOR_GREATER_DEATHBLOW;Greater Deathblow
SPCL904;1;Innate;WARRIOR_RESIST_MAGIC;Resist Magic
SPCL905;1;Innate;WARRIOR_CRITICAL_STRIKE;Critical Strike
SPCL906;1;Innate;WARRIOR_POWER_ATTACK;Power Attack
SPCL907;1;Innate;WARRIOR_HARDINESS;Hardiness
SPCL908;1;Innate;WARRIOR_WAR_CRY;War Cry
SPCL909;1;Innate;WARRIOR_SMITE;Smite
SPCL910;9;Innate;ROGUE_SET_SPIKE_TRAP;Set Spike Trap
SPCL911;9;Innate;ROGUE_SET_EXPLODING_TRAP;Set Exploding Trap
SPCL912;9;Innate;ROGUE_SET_TIME_TRAP;Set Time Trap
SPCL913;1;Innate;ROGUE_EVASION;Evasion
SPCL914;1;Innate;ROGUE_GREATER_EVASION;Greater Evasion
SPCL915;1;Innate;;Use Any Item
SPCL916;1;Innate;ROGUE_ASSASINATION;Assassination
SPCL917;1;Innate;ROGUE_AVOID_DEATH;Avoid Death
SPCL918;1;Innate;;Alchemy
SPCL919;1;Innate;;Scribe Scrolls
SPCL920;0;Innate;;Enhanced Bard Song
SPCL921;1;Innate;;Magic Flute
SPCL922;7;Innate;RANGER_TRACKING;Tracking
SPCL923;7;Innate;PALADIN_SUMMON_DEVA;Summon Deva
SPCL924;0;Innate;DRUID_IMMUNE_POISON;
SPCL925;0;Innate;DRUID_RESISTS;
SPCL926;0;Innate;;
SPCL927;0;Innate;;
SPCL928;1;Innate;;Extra Level 6 Spell
SPCL929;1;Innate;;Extra Level 7 Spell
SPCL930;1;Innate;;Extra Level 8 Spell
SPCL931;1;Innate;;
SPCL932;1;Innate;;
SPCL933;1;Innate;;
SPCL934;1;Innate;;
SPCL935;7;Innate;BLACKGUARD_SUMMON_FALLEN_DEVA;Summon Fallen Deva
SPCL936;1;Innate;SHADOWDANCER_SHADOW_TWIN;Shadow Twin
SPCL937;1;Innate;SHADOWDANCER_SHADOW_MAZE;Shadow Maze
SPCL938;1;Innate;SHADOWDANCER_SHADOW_FORM;Shadow Form
SPCL940;1;Innate;SHAMAN_SPIRIT_FORM;Spirit Form
SPCL941;1;Innate;SHAMAN_FAVORED_OF_THE_SPIRITS;Favored of the Spirits
SPIN001;0;Innate;;Druid Polymorph
SPIN101;1;Innate;INNATE_CURE_LIGHT_WOUNDS;Cure Light Wounds
SPIN102;1;Innate;INNATE_SLOW_POISON;Slow Poison
SPIN103;1;Innate;INNATE_DRAW_UPON_HOLY_MIGHT;Draw upon Divine Might
SPIN104;1;Innate;INNATE_LARLOCHS_MINOR_DRAIN;Larloch's Minor Drain
SPIN105;1;Innate;INNATE_HORROR;Horror
SPIN106;1;Innate;INNATE_VAMPIRIC_TOUCH;Vampiric Touch
SPIN107;0;Innate;;Shapeshift: Brown Bear
SPIN108;1;Innate;;Charm Animal
SPIN109;1;Innate;;Lay On Hands
SPIN110;1;Innate;;Shapeshift: Wolf
SPIN111;1;Innate;;Shapeshift: Black Bear
SPIN112;1;Innate;;Dispel Magic
SPIN113;1;Innate;;Spiritual Hammer
SPIN114;1;Innate;;Summon Dread Wolf
SPIN115;1;Innate;;Summon Ghast
SPIN116;1;Innate;;Create Poisoned Arrows
SPIN117;1;Innate;MINSC_BERSERK;Berserk
SPIN118;1;Innate;;Invisibility
SPIN119;1;Innate;;Charm Person
SPIN120;1;Innate;;Detect Evil
SPIN121;1;Innate;;Protection From Evil
SPIN122;1;Innate;AVENGER_SHAPESHIFT_NATURAL_FORM;Shapeshift: Natural Form
SPIN123;1;Innate;DRUID_SHAPESHIFT_FROM_BLACKBEAR;Shapeshift: Natural Form
SPIN124;1;Innate;SHAPESHIFTER_SHAPESHIFT_NATURAL_FORM;Shapeshift: Natural Form
SPIN125;1;Innate;;Shapeshift: Spider
SPIN126;1;Innate;;Shapeshift: Baby Wyvern
SPIN127;1;Innate;;Shapeshift: Fire Salamander
SPIN128;7;Innate;SEVEN_EYES_MIND;Eye of the Mind
SPIN129;7;Innate;SEVEN_EYES_MAGE;Eye of the Mage
SPIN130;7;Innate;SEVEN_EYES_SWORD;Eye of the Sword
SPIN131;7;Innate;SEVEN_EYES_VENOM;Eye of Venom
SPIN132;4;Innate;SEVEN_EYES_FORTITUDE;Eye of Fortitude
SPIN133;7;Innate;SEVEN_EYES_SPIRIT;Eye of the Spirit
SPIN134;7;Innate;SEVEN_EYES_STONE;Eye of Stone
SPIN135;1;Innate;INNATE_BOMBARDIER_BEETLE_CLOUD;
SPIN136;1;Innate;INNATE_FIEND_FIREBALL;Unholy Fireball
SPIN137;1;Innate;INNATE_FIEND_IMPROVED_INVISIBILITY;Improved Invisibility
