
SPCL001.SPL;
SPCL102.SPL;Life Drain
SPCL104.SPL;Resist Fear
SPCL105.SPL;Negative Plane Protection
SPCL106.SPL;Animate Dead
SPCL121.SPL;Called Shot
SPCL122.SPL;
SPCL123.SPL;
SPCL131.SPL;
SPCL132.SPL;
SPCL133.SPL;
SPCL141.SPL;
SPCL142.SPL;
SPCL143.SPL;
SPCL144.SPL;Ki Focus
SPCL151.SPL;
SPCL152.SPL;Barbarian Rage
SPCL153.SPL;
SPCL154.SPL;
SPCL211.SPL;Lay On Hands
SPCL213.SPL;Protection From Evil
SPCL221.SPL;
SPCL222.SPL;Remove Fear
SPCL231.SPL;Dispel Magic
SPCL232.SPL;True Sight
SPCL233.SPL;Protection From Evil, 10' Radius
SPCL234.SPL;
SPCL235.SPL;
SPCL237.SPL;Greater Sun
SPCL238.SPL;Flaming Fists
SPCL241.SPL;
SPCL242.SPL;
SPCL321.SPL;Enrage
SPCL322.SPL;
SPCL331.SPL;
SPCL332.SPL;
SPCL341.SPL;
SPCL342.SPL;Find Familiar
SPCL351.SPL;
SPCL411.SPL;
SPCL412.SPL;Set Snare
SPCL414.SPL;Set Special Snare
SPCL415.SPL;
SPCL417.SPL;Special Snare
SPCL421.SPL;
SPCL422.SPL;
SPCL423.SPL;Poison Weapon
SPCL441.SPL;
SPCL442.SPL;
SPCL521.SPL;Offensive Spin
SPCL522.SPL;Defensive Spin
SPCL541.SPL;
SPCL542.SPL;
SPCL611.SPL;Shapeshift: Brown Bear
SPCL612.SPL;Shapeshift: Wolf
SPCL613.SPL;Shapeshift: Black Bear
SPCL621.SPL;Summon Spirit Animal
SPCL622.SPL;Spirit Snake
SPCL623.SPL;Spirit Bear
SPCL624.SPL;Spirit Lion
SPCL625.SPL;Spirit Wolf
SPCL631.SPL;
SPCL632.SPL;Shapeshift: Sword Spider
SPCL633.SPL;Shapeshift: Baby Wyvern
SPCL634.SPL;Shapeshift: Fire Salamander
SPCL642.SPL;
SPCL643.SPL;Shapeshift: Werewolf
SPCL644.SPL;Shapeshift: Greater Werewolf
SPCL721.SPL;Storm Shield
SPCL731.SPL;Seeking Sword
SPCL732.SPL;True Sight
SPCL741.SPL;Boon of Lathander
SPCL751.SPL;
SPCL801.SPL;
SPCL811.SPL;Stunning Blow
