file;general;race;class;anim;deathvar;dialog;origin;name;MonsterId;ValidatedMonsterId
0XCOM1DG;HUMANOID;FAIRY;0;THIEF_MALE_ELF;0XCOM1DG;0XCOM1DG;TOTDG;Man;;
0XCOM2DG;HUMANOID;FAIRY;0;THIEF_MALE_ELF;0XCOM2DG;0XCOM2DG;TOTDG;Man;;
0XCOM3DG;HUMANOID;FAIRY;0;THIEF_MALE_ELF;0XCOM3DG;0XCOM3DG;TOTDG;Man;;
0XCOM4DG;HUMANOID;FAIRY;0;THIEF_MALE_ELF;0XCOM4DG;0XCOM4DG;TOTDG;Man;;
0XCOM5DG;HUMANOID;FAIRY;0;THIEF_MALE_ELF;0XCOM5DG;0XCOM5DG;TOTDG;Man;;
0XDREADG;HUMANOID;FAIRY;0;RAKSHASA;0XDREADG;0XDREADG;TOTDG;Colour's Dream;;
0XGOLDG;HUMANOID;MEPHIT;MEPHIT;IMP;0XGOLDG;0XGOLDG;TOTDG;Envious Gold;;
0XGREDG;MONSTER;SLIME;MUSTARD_JELLY;SLIME_MUSTARD;0XGREDG;0XGREDG;TOTDG;Living Green;MustardJelly;false
0XGUIDG;HUMANOID;FAIRY;0;THIEF_MALE_ELF;0XGUIDG;0XGUIDG;TOTDG;Marble Gaze;;
0XINDG;HUMANOID;FAIRY;0;THIEF_MALE_ELF;0XINDG;0XINDG;TOTDG;Man;;
0XLOV1DG;HUMANOID;FAIRY;0;THIEF_MALE_ELF;0XLOV1DG;0XLOV1DG;TOTDG;Gentle Touch;;
0XLOV2DG;HUMANOID;FAIRY;0;THIEF_FEMALE_ELF;0XLOV2DG;0XLOV2DG;TOTDG;Temper Touch;;
0XM1DG;HUMANOID;FAIRY;0;THIEF_MALE_ELF;0XM1DG;0XM1DG;TOTDG;Hooded Alchemist;;
0XM2DG;HUMANOID;FAIRY;0;THIEF_MALE_ELF;0XM2DG;0XM2DG;TOTDG;Hooded Keeper;;
0XMANDG;HUMANOID;FAIRY;0;THIEF_MALE_ELF;0XMANDG;0XMANDG;TOTDG;Troubled man;;
0XPRIDG;HUMANOID;FAIRY;0;MONK;0XPRIDG;0XPRIDG;TOTDG;Hooded Priest;;
0XREDDG;GIANTHUMANOID;GOLEM;ELEMENTAL_FIRE;BURNING_MAN;0XREDDG;0XREDDG;TOTDG;Wrathful Red;;
0XSILDG;GIANTHUMANOID;GOLEM;GOLEM_IRON;GOLEM_IRON;0XSILDG;0XSILDG;TOTDG;Silver Monument;IronGolem;false
0XSTDG;HUMANOID;FAIRY;0;THIEF_FEMALE_ELF;0XSTDG;0XSTDG;TOTDG;Silvertongue;;
0XTHI2DG;HUMANOID;FAIRY;0;THIEF_FEMALE_ELF;0XTHI2DG;0XTHI2DG;TOTDG;Woman;;
0XUDDG;UNDEAD;SKELETON;SKELETON;SKELETON;0XUDDG;0XUDDG;TOTDG;Skeleton;Skeleton;false
0XYHDG;UNDEAD;SKELETON;SKELETON;SKELETON;0XYHDG;0XYHDG;TOTDG;Gray Victim;Skeleton;false
9XDAD;HUMANOID;LEATHER;NO_CLASS;PEASANT_MAN;9XDAD;NONE;INNERSHADE;Man;;
9XDOG;ANIMAL;WOLF;HUNTER_CREATURE;WOLF;9XDOG;9XDOG;INNERSHADE;Dog;Wolf;false
9XE1;HUMANOID;HUMAN;WRAITH;FIGHTER_MALE_HALFLING;9XE1;9XENEMY;INNERSHADE;Shapeshifting Creature;;
9XE2;HUMANOID;HUMAN;SPECTRE;BEGGAR_MAN;9XE2;9XENEMY;INNERSHADE;Shapeshifting Creature;;
9XE3;HUMANOID;HUMAN;SPECTRE;GHAST;9XE3;9XENEMY;INNERSHADE;Shapeshifting Creature;;
9XE4;HUMANOID;HUMAN;SPECTRE;SHADOW_LARGE;9XE4;9XENEMY;INNERSHADE;Shapeshifting Creature;;
9XE5;HUMANOID;HUMAN;SPECTRE;ELEMENTAL_FIRE_PURPLE;9XE5;9XENEMY;INNERSHADE;Shapeshifting Creature;;
9XE6;HUMANOID;HUMAN;SPECTRE;FIGHTER_MALE_HALFLING;9XE6;9XENEMY;INNERSHADE;Shapeshifting Creature;;
